# Filename: 3Dvlt_macro_Tv_Op12_Cc0.65_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.65, K0c=0.41625279991889, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac/a
1	10000000	1	1e-08	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
2	10000000	1	1.25893e-08	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
3	10000000	1	1.58489e-08	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
4	10000000	1	1.99526e-08	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
5	10000000	1	2.51189e-08	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
6	10000000	1	3.16228e-08	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
7	10000000	1	3.98107e-08	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
8	10000000	1	5.01187e-08	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
9	10000000	1	6.30957e-08	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
10	10000000	1	7.94328e-08	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
11	10000000	1	1e-07	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
12	10000000	1	1.25893e-07	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
13	10000000	1	1.58489e-07	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
14	10000000	1	1.99526e-07	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
15	10000000	1	2.51189e-07	100	0.416253	0.0692271	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
16	10000000	1	3.16228e-07	100	0.416253	0.069227	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
17	10000000	1	3.98107e-07	100	0.416253	0.069227	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
18	10000000	0.999999	5.01187e-07	100	0.416253	0.069227	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
19	10000000	0.999999	6.30957e-07	100	0.416253	0.069227	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
20	10000000	0.999999	7.94328e-07	100	0.416253	0.069227	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
21	10000000	0.999999	1e-06	100	0.416253	0.0692269	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
22	10000000	0.999999	1.25893e-06	100	0.416253	0.0692269	0	1	3.72008e-44	1.83479e-262	2.68812e+43	1
23	10000000	0.999998	1.58489e-06	100	0.416253	0.0692268	0	1	3.72008e-44	1.83478e-262	2.68812e+43	1
24	10000000	0.999998	1.99526e-06	100	0.416254	0.0692267	0	1	3.72008e-44	1.83478e-262	2.68812e+43	1
25	10000000	0.999997	2.51189e-06	100	0.416254	0.0692266	0	1	3.72008e-44	1.83478e-262	2.68812e+43	1
26	10000000	0.999997	3.16228e-06	100	0.416254	0.0692265	0	1	3.72008e-44	1.83478e-262	2.68812e+43	1
27	10000000	0.999996	3.98107e-06	100	0.416254	0.0692264	0	1	3.72008e-44	1.83477e-262	2.68812e+43	1
28	10000000	0.999995	5.01187e-06	100	0.416255	0.0692262	0	1	3.72008e-44	1.83477e-262	2.68812e+43	1
29	10000000	0.999994	6.30957e-06	100	0.416255	0.0692259	0	1	3.72008e-44	1.83476e-262	2.68812e+43	1
30	10000000	0.999992	7.94328e-06	100	0.416256	0.0692256	0	1	3.72008e-44	1.83475e-262	2.68812e+43	1
31	10000000	0.99999	1e-05	100	0.416257	0.0692253	0	1	3.72008e-44	1.83474e-262	2.68812e+43	1
32	10000000	0.999987	1.25893e-05	100	0.416258	0.0692248	0	1	3.72008e-44	1.83473e-262	2.68812e+43	1
33	10000000	0.999984	1.58489e-05	100	0.416259	0.0692242	0	1	3.72008e-44	1.83471e-262	2.68812e+43	1
