# Filename: vlt_FPquench_vsl_3_T_0.95_0.1_P_00.050_lmax10_dl0.008_tmax1_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 4 (2011 Mar 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.95, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=1, dt0=0.0001, a0=1, a03=1, a06=1, CONST=0.6

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
0.95	0.05	0	0.311173	1	1	0.033586
0.95	0.05	0.04	0.318176	1.02251	0.982412	0.027213
0.95	0.05	0.08	0.325041	1.04457	0.964258	0.0219838
0.95	0.05	0.12	0.331763	1.06617	0.945609	0.0177084
0.95	0.05	0.16	0.338338	1.0873	0.926536	0.0142247
0.95	0.05	0.2	0.344765	1.10795	0.907117	0.0113956
0.95	0.05	0.24	0.351047	1.12814	0.887428	0.00910536
0.95	0.05	0.28	0.357187	1.14788	0.867546	0.00725711
0.95	0.05	0.32	0.363194	1.16718	0.847546	0.00576993
0.95	0.05	0.36	0.369076	1.18608	0.827502	0.00457668
0.95	0.05	0.4	0.374846	1.20462	0.807483	0.00362188
0.95	0.05	0.44	0.380515	1.22284	0.787556	0.00285988
0.95	0.05	0.48	0.386101	1.24079	0.767782	0.00225328
0.95	0.05	0.52	0.391618	1.25852	0.748219	0.00177158
0.95	0.05	0.56	0.397087	1.2761	0.728918	0.00138995
0.95	0.05	0.6	0.402524	1.29357	0.709927	0.00108829
0.95	0.05	0.64	0.407952	1.31101	0.691288	0.000850377
0.95	0.05	0.68	0.413391	1.32849	0.673037	0.000663138
0.95	0.05	0.72	0.418863	1.34608	0.655206	0.000516091
0.95	0.05	0.76	0.424391	1.36384	0.637824	0.000400848
0.95	0.05	0.8	0.429999	1.38187	0.620912	0.000310714
0.95	0.05	0.84	0.435711	1.40022	0.604491	0.00024036
0.95	0.05	0.88	0.441552	1.41899	0.588574	0.000185556
0.95	0.05	0.92	0.447548	1.43826	0.573175	0.00014295
0.95	0.05	0.96	0.453725	1.45811	0.558301	0.000109894
0.95	0.05	1	0.46011	1.47863	0.543959	8.42985e-05
0.95	0.05	1.04	0.466731	1.49991	0.530151	6.45212e-05
0.95	0.05	1.08	0.473618	1.52204	0.516879	4.92712e-05
0.95	0.05	1.12	0.480799	1.54512	0.504142	3.75371e-05
0.95	0.05	1.16	0.488306	1.56924	0.491937	2.85281e-05
0.95	0.05	1.2	0.49617	1.59452	0.48026	2.16267e-05
0.95	0.05	1.24	0.504425	1.62105	0.469105	1.63522e-05
0.95	0.05	1.28	0.513105	1.64894	0.458466	1.23306e-05
0.95	0.05	1.32	0.522245	1.67831	0.448336	9.27194e-06
0.95	0.05	1.36	0.531882	1.70928	0.438706	6.95163e-06
0.95	0.05	1.4	0.542055	1.74198	0.429566	5.19613e-06
0.95	0.05	1.44	0.552805	1.77652	0.420907	3.87167e-06
0.95	0.05	1.48	0.564172	1.81305	0.412719	2.87531e-06
0.95	0.05	1.52	0.5762	1.85171	0.40499	2.12804e-06
0.95	0.05	1.56	0.588934	1.89263	0.39771	1.56937e-06
0.95	0.05	1.6	0.602422	1.93597	0.390866	1.15308e-06
0.95	0.05	1.64	0.61671	1.98189	0.384447	8.4395e-07
0.95	0.05	1.68	0.63185	2.03054	0.37844	6.15226e-07
0.95	0.05	1.72	0.647892	2.0821	0.372833	4.4663e-07
0.95	0.05	1.76	0.664891	2.13673	0.367613	3.22843e-07
0.95	0.05	1.8	0.6829	2.1946	0.362765	2.32328e-07
0.95	0.05	1.84	0.701975	2.2559	0.358277	1.66423e-07
0.95	0.05	1.88	0.722175	2.32082	0.354134	1.18649e-07
0.95	0.05	1.92	0.743556	2.38953	0.350321	8.41769e-08
0.95	0.05	1.96	0.766177	2.46223	0.346825	5.94217e-08
0.95	0.05	2	0.7901	2.5391	0.34363	4.17316e-08
0.95	0.05	2.04	0.815383	2.62035	0.340721	2.91543e-08
0.95	0.05	2.08	0.842087	2.70617	0.338083	2.02587e-08
0.95	0.05	2.12	0.870273	2.79675	0.335699	1.40009e-08
0.95	0.05	2.16	0.900002	2.89229	0.333554	9.62283e-09
0.95	0.05	2.2	0.931336	2.99299	0.331632	6.57696e-09
0.95	0.05	2.24	0.964334	3.09903	0.329918	4.47001e-09
0.95	0.05	2.28	0.999059	3.21063	0.328396	3.02095e-09
0.95	0.05	2.32	1.03557	3.32796	0.327051	2.03018e-09
0.95	0.05	2.36	1.07393	3.45124	0.325867	1.35673e-09
0.95	0.05	2.4	1.1142	3.58066	0.32483	9.01671e-10
0.95	0.05	2.44	1.15645	3.71641	0.323926	5.95982e-10
0.95	0.05	2.48	1.20073	3.85872	0.323141	3.91832e-10
0.95	0.05	2.52	1.24711	4.00777	0.322464	2.56278e-10
0.95	0.05	2.56	1.29566	4.1638	0.321881	1.66782e-10
0.95	0.05	2.6	1.34645	4.32701	0.321382	1.0802e-10
0.95	0.05	2.64	1.39954	4.49764	0.320957	6.96451e-11
0.95	0.05	2.68	1.45502	4.67592	0.320596	4.47128e-11
0.95	0.05	2.72	1.51296	4.86211	0.32029	2.85939e-11
0.95	0.05	2.76	1.57343	5.05647	0.320033	1.82213e-11
0.95	0.05	2.8	1.63654	5.25926	0.319816	1.15752e-11
0.95	0.05	2.84	1.70236	5.47079	0.319635	7.33379e-12
0.95	0.05	2.88	1.77099	5.69135	0.319483	4.63658e-12
0.95	0.05	2.92	1.84254	5.92127	0.319356	2.92674e-12
0.95	0.05	2.96	1.9171	6.16088	0.31925	1.84567e-12
0.95	0.05	3	1.99478	6.41054	0.319162	1.1636e-12
0.95	0.05	3.04	2.07571	6.67062	0.319088	7.33919e-13
0.95	0.05	3.08	2.16001	6.94151	0.319027	4.63486e-13
0.95	0.05	3.12	2.2478	7.22364	0.318975	2.93321e-13
