# Filename: 3Dvlt_macro_Tv_Op42_Kth4.14677_Cc0.75_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=4, OpB=2, N=3, Cc=0.75, K0c=0.379155245319099, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
T/Tc	1-T/Tc	l	K	y	e	K/K0	Kr/K0	G
1	1e-08	10	0.399611	0.0577865	0	1.05395	4.78493e-05	5.06008e-28
1	1.25893e-08	10	0.402766	0.0566466	0	1.06227	4.82271e-05	4.96026e-28
1	1.58489e-08	10	0.40675	0.0552452	0	1.07278	4.87041e-05	4.83755e-28
1	1.99526e-08	10	0.411783	0.0535329	0	1.08605	4.93068e-05	4.68762e-28
1	2.51189e-08	10	0.418149	0.0514567	0	1.10284	5.0069e-05	4.50582e-28
1	3.16228e-08	10	0.426207	0.0489636	0	1.1241	5.10339e-05	4.28751e-28
1	3.98107e-08	10	0.436417	0.0460061	0	1.15102	5.22564e-05	4.02853e-28
1	5.01187e-08	10	0.44937	0.0425506	0	1.18519	5.38075e-05	3.72595e-28
1	6.30957e-08	10	0.465823	0.0385898	0	1.22858	5.57775e-05	3.37912e-28
1	7.94328e-08	10	0.486742	0.0341565	0	1.28375	5.82823e-05	2.99092e-28
1	1e-07	10	0.513361	0.0293396	0	1.35396	6.14696e-05	2.56913e-28
1	1.25893e-07	10	0.547237	0.0242945	0	1.44331	6.5526e-05	2.12735e-28
1	1.58489e-07	10	0.590311	0.0192433	0	1.55691	7.06837e-05	1.68504e-28
1	1.99526e-07	10	0.644941	0.0144558	0	1.70099	7.7225e-05	1.26582e-28
1	2.51189e-07	10	0.713907	0.0102061	0	1.88289	8.5483e-05	8.937e-29
1	3.16228e-07	10	0.800346	0.00671316	0	2.11087	9.58331e-05	5.87839e-29
1	3.98107e-07	10	0.907633	0.0040835	0	2.39383	0.00010868	3.57572e-29
0.999999	5.01187e-07	10	1.03925	0.00228663	0	2.74095	0.000124439	2.00229e-29
0.999999	6.30957e-07	10	1.1987	0.00117859	0	3.16149	0.000143531	1.03204e-29
0.999999	7.94328e-07	10	1.38963	0.000562467	0	3.66508	0.000166394	4.92525e-30
0.999999	1e-06	10	1.6161	0.000251899	0	4.26236	0.000193511	2.20575e-30
0.999999	1.25893e-06	10	1.88287	0.000108268	0	4.96594	0.000225453	9.48046e-31
0.999998	1.58489e-06	10	2.19574	4.6169e-05	0	5.79113	0.000262917	4.0428e-31
0.999998	1.99526e-06	10	2.5618	2.04599e-05	0	6.75659	0.000306749	1.79157e-31
0.999997	2.51189e-06	10	2.98954	1.00292e-05	0	7.88471	0.000357965	8.78211e-32
0.999997	3.16228e-06	10	3.48903	5.90504e-06	0	9.20209	0.000417774	5.17075e-32
