# Filename: 2DKT_FPquench_vsl_T_1_0.1_lmax10_dl0.000125_tmax10_dt01e-05_BC3_dbug_NewRK2.dat
# Source: 2DKT_FPquench.c
# Source version: 4 (2011 May 26 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: BC=3, iTfrac=1, qTfrac=0.1, lmax=10, lsteps=80000, (dl=0.000125), lpts=80001, ldatamax=100, tmax=10, dt0=1e-05, a0=1, a02=1, a04=1, K0c=0.747853

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
1	0	0	0.747853	1	0.000622969
1	0	0.000125	0.747848	0.999993	0.000622604
1	0	0.00025	0.747842	0.999986	0.000622238
1	0	0.000375	0.747837	0.999978	0.000621873
1	0	0.0005	0.747831	0.999971	0.000621507
1	0	0.000625	0.747826	0.999964	0.000621143
1	0	0.00075	0.747821	0.999957	0.000620778
1	0	0.000875	0.747815	0.999949	0.000620413
1	0	0.001	0.74781	0.999942	0.000620049
1	0	0.001125	0.747804	0.999935	0.000619685
1	0	0.00125	0.747799	0.999928	0.000619321
1	0	0.001375	0.747794	0.999921	0.000618957
1	0	0.0015	0.747788	0.999913	0.000618594
1	0	0.001625	0.747783	0.999906	0.000618231
1	0	0.00175	0.747777	0.999899	0.000617868
1	0	0.1	0.743701	0.994448	0.000389915
1	0	0.2	0.739861	0.989314	0.00024466
1	0	0.3	0.736298	0.984549	0.000153874
1	0	0.4	0.732983	0.980116	9.69852e-05
1	0	0.5	0.729889	0.97598	6.12519e-05
1	0	0.6	0.726996	0.972111	3.8757e-05
1	0	0.7	0.724283	0.968483	2.45666e-05
1	0	0.8	0.721734	0.965075	1.55976e-05
1	0	0.9	0.719335	0.961867	9.91846e-06
1	0	1	0.717072	0.95884	6.31636e-06
1	0	1.1	0.714933	0.955981	4.02801e-06
1	0	1.2	0.712909	0.953275	2.57206e-06
1	0	1.3	0.710991	0.950709	1.64441e-06
1	0	1.4	0.70917	0.948274	1.05257e-06
1	0	1.5	0.707438	0.945959	6.74485e-07
1	0	1.6	0.70579	0.943755	4.3267e-07
1	0	1.7	0.704219	0.941654	2.77831e-07
1	0	1.8	0.70272	0.93965	1.78576e-07
1	0	1.9	0.701288	0.937735	1.14885e-07
1	0	2	0.699918	0.935904	7.39756e-08
1	0	2.1	0.698607	0.934151	4.76736e-08
1	0	2.2	0.697351	0.932471	3.07481e-08
1	0	2.3	0.696146	0.930859	1.9847e-08
1	0	2.4	0.694989	0.929312	1.28201e-08
1	0	2.5	0.693877	0.927826	8.28703e-09
1	0	2.6	0.692808	0.926397	5.36048e-09
1	0	2.7	0.69178	0.925021	3.46972e-09
1	0	2.8	0.690789	0.923696	2.2473e-09
1	0	2.9	0.689834	0.922419	1.45644e-09
1	0	3	0.688913	0.921188	9.44454e-10
1	0	3.1	0.688024	0.919999	6.12796e-10
1	0	3.2	0.687166	0.918851	3.97822e-10
1	0	3.3	0.686336	0.917742	2.584e-10
1	0	3.4	0.685534	0.916669	1.67926e-10
1	0	3.5	0.684758	0.915631	1.09184e-10
1	0	3.6	0.684006	0.914627	7.10246e-11
1	0	3.7	0.683279	0.913654	4.62232e-11
1	0	3.8	0.682573	0.912711	3.00959e-11
1	0	3.9	0.68189	0.911796	1.96039e-11
1	0	4	0.681226	0.91091	1.27751e-11
1	0	4.1	0.680583	0.910049	8.32841e-12
1	0	4.2	0.679958	0.909213	5.43167e-12
1	0	4.3	0.679351	0.908402	3.54383e-12
1	0	4.4	0.678761	0.907613	2.313e-12
1	0	4.5	0.678187	0.906846	1.51021e-12
1	0	4.6	0.677629	0.9061	9.86401e-13
1	0	4.7	0.677087	0.905374	6.44495e-13
1	0	4.8	0.676558	0.904668	4.21242e-13
1	0	4.9	0.676044	0.90398	2.75414e-13
1	0	5	0.675543	0.90331	1.80127e-13
1	0	5.1	0.675055	0.902657	1.17844e-13
1	0	5.2	0.674579	0.902021	7.71199e-14
1	0	5.3	0.674115	0.9014	5.0484e-14
1	0	5.4	0.673662	0.900795	3.30573e-14
1	0	5.5	0.67322	0.900204	2.16522e-14
1	0	5.6	0.672789	0.899628	1.41859e-14
1	0	5.7	0.672369	0.899065	9.29663e-15
1	0	5.8	0.671958	0.898516	6.09409e-15
1	0	5.9	0.671556	0.897979	3.9958e-15
1	0	6	0.671164	0.897454	2.62063e-15
1	0	6.1	0.670781	0.896942	1.71915e-15
1	0	6.2	0.670406	0.896441	1.12804e-15
1	0	6.3	0.670039	0.89595	7.40354e-16
1	0	6.4	0.669681	0.895471	4.86017e-16
1	0	6.5	0.66933	0.895002	3.19124e-16
1	0	6.6	0.668987	0.894543	2.09587e-16
1	0	6.7	0.66865	0.894093	1.37676e-16
1	0	6.8	0.668321	0.893653	9.04579e-17
1	0	6.9	0.667999	0.893223	5.9446e-17
1	0	7	0.667684	0.892801	3.90737e-17
1	0	7.1	0.667374	0.892387	2.56882e-17
1	0	7.2	0.667071	0.891982	1.68914e-17
1	0	7.3	0.666774	0.891585	1.11091e-17
1	0	7.4	0.666483	0.891195	7.30755e-18
1	0	7.5	0.666197	0.890813	4.80777e-18
1	0	7.6	0.665917	0.890439	3.16369e-18
1	0	7.7	0.665643	0.890072	2.08218e-18
1	0	7.8	0.665373	0.889711	1.37062e-18
1	0	7.9	0.665109	0.889357	9.02382e-19
1	0	8	0.664849	0.88901	5.94202e-19
1	0	8.1	0.664594	0.88867	3.91335e-19
1	0	8.2	0.664344	0.888335	2.57769e-19
1	0	8.3	0.664098	0.888006	1.69817e-19
1	0	8.4	0.663857	0.887684	1.11892e-19
1	0	8.5	0.66362	0.887367	7.37363e-20
1	0	8.6	0.663387	0.887055	4.8599e-20
1	0	8.7	0.663158	0.886749	3.20359e-20
1	0	8.8	0.662933	0.886449	2.11207e-20
1	0	8.9	0.662712	0.886153	1.39264e-20
1	0	9	0.662495	0.885862	9.18401e-21
1	0	9.1	0.662281	0.885577	6.05736e-21
1	0	9.2	0.662071	0.885296	3.99569e-21
1	0	9.3	0.661864	0.885019	2.63607e-21
1	0	9.4	0.661661	0.884747	1.73932e-21
1	0	9.5	0.661461	0.88448	1.14777e-21
1	0	9.6	0.661264	0.884217	7.57505e-22
1	0	9.7	0.661071	0.883958	4.99999e-22
1	0	9.8	0.66088	0.883703	3.3007e-22
1	0	9.9	0.660692	0.883452	2.17918e-22
1	0	10	0.660508	0.883205	1.43891e-22

# time step n_t = 1	t = 1.000000e-05	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.1	0.9	0	7.47853	1	0.000531175
0.1	0.9	0.000125	7.47807	0.999938	0.000531415
0.1	0.9	0.00025	7.47761	0.999877	0.000710495
0.1	0.9	0.000375	7.47699	0.999794	0.000620474
0.1	0.9	0.0005	7.47645	0.999722	0.00062011
0.1	0.9	0.000625	7.47591	0.99965	0.000619746
0.1	0.9	0.00075	7.47538	0.999578	0.000619383
0.1	0.9	0.000875	7.47484	0.999506	0.00061902
0.1	0.9	0.001	7.4743	0.999434	0.000618657
0.1	0.9	0.001125	7.47376	0.999362	0.000618294
0.1	0.9	0.00125	7.47322	0.999291	0.000617931
0.1	0.9	0.001375	7.47269	0.999219	0.000617569
0.1	0.9	0.0015	7.47215	0.999147	0.000617207
0.1	0.9	0.001625	7.47161	0.999075	0.000616845
0.1	0.9	0.00175	7.47107	0.999003	0.000616483
0.1	0.9	0.1	7.0838	0.947219	0.00038925
0.1	0.9	0.2	6.75048	0.902648	0.000244341
0.1	0.9	0.3	6.46528	0.864512	0.00015372
0.1	0.9	0.4	6.21844	0.831506	9.69099e-05
0.1	0.9	0.5	6.00269	0.802657	6.12148e-05
0.1	0.9	0.6	5.81249	0.777223	3.87386e-05
0.1	0.9	0.7	5.64351	0.754629	2.45575e-05
0.1	0.9	0.8	5.49239	0.734421	1.5593e-05
0.1	0.9	0.9	5.35642	0.71624	9.91617e-06
0.1	0.9	1	5.23342	0.699792	6.31521e-06
0.1	0.9	1.1	5.1216	0.68484	4.02743e-06
0.1	0.9	1.2	5.0195	0.671188	2.57177e-06
0.1	0.9	1.3	4.9259	0.658672	1.64426e-06
0.1	0.9	1.4	4.83976	0.647154	1.05249e-06
0.1	0.9	1.5	4.76024	0.63652	6.74446e-07
0.1	0.9	1.6	4.68658	0.626671	4.3265e-07
0.1	0.9	1.7	4.61816	0.617522	2.7782e-07
0.1	0.9	1.8	4.55443	0.609	1.7857e-07
0.1	0.9	1.9	4.49493	0.601044	1.14882e-07
0.1	0.9	2	4.43924	0.593597	7.39741e-08
0.1	0.9	2.1	4.387	0.586613	4.76729e-08
0.1	0.9	2.2	4.33791	0.580049	3.07477e-08
0.1	0.9	2.3	4.29169	0.573868	1.98467e-08
0.1	0.9	2.4	4.24808	0.568037	1.282e-08
0.1	0.9	2.5	4.20688	0.562527	8.28698e-09
