# Filename: 2DKT_FPquench_v2_vsl_T_0.999_0.95_lmax10_dl0.008_tmax10000_dt01e-05.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 Apr 06 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.999, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.999	0.001	0	0.748602	1	0.000618384
0.999	0.001	0.04	0.74691	0.99774	0.000512437
0.999	0.001	0.08	0.745272	0.995552	0.00042482
0.999	0.001	0.12	0.743685	0.993432	0.000352327
0.999	0.001	0.16	0.742147	0.991378	0.000292319
0.999	0.001	0.2	0.740655	0.989385	0.000242624
0.999	0.001	0.24	0.739207	0.987451	0.000201451
0.999	0.001	0.28	0.737802	0.985573	0.000167326
0.999	0.001	0.32	0.736437	0.98375	0.000139029
0.999	0.001	0.36	0.73511	0.981978	0.000115557
0.999	0.001	0.4	0.733821	0.980256	9.60794e-05
0.999	0.001	0.44	0.732567	0.978581	7.99103e-05
0.999	0.001	0.48	0.731347	0.976951	6.64828e-05
0.999	0.001	0.52	0.73016	0.975366	5.53284e-05
0.999	0.001	0.56	0.729004	0.973821	4.6059e-05
0.999	0.001	0.6	0.727878	0.972318	3.83535e-05
0.999	0.001	0.64	0.726781	0.970852	3.19461e-05
0.999	0.001	0.68	0.725712	0.969424	2.66163e-05
0.999	0.001	0.72	0.72467	0.968031	2.21816e-05
0.999	0.001	0.76	0.723653	0.966673	1.84906e-05
0.999	0.001	0.8	0.722661	0.965348	1.54177e-05
0.999	0.001	0.84	0.721693	0.964055	1.28586e-05
0.999	0.001	0.88	0.720748	0.962792	1.07268e-05
0.999	0.001	0.92	0.719825	0.961559	8.95062e-06
0.999	0.001	0.96	0.718923	0.960355	7.47022e-06
0.999	0.001	1	0.718042	0.959178	6.23607e-06
0.999	0.001	1.04	0.717181	0.958028	5.20696e-06
0.999	0.001	1.08	0.716339	0.956903	4.3486e-06
0.999	0.001	1.12	0.715516	0.955804	3.6325e-06
