# Filename: 2DKT_FPquench_vsl_lmax10_dl0.008_tmax10000_dt01e-05.dat
# Source: 2DKT_FPquench.c
# Source version: 1 (2011 Jan 12)
# Parameter values: lmax=10, lsteps=1250, lpts=1251, ldatamax=250, iTfrac=0.95, qTfrac=0.1, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.95	0.05	0	0.787214	1	0.00042243
0.95	0.05	0.04	0.785941	0.998384	0.000346657
0.95	0.05	0.08	0.78472	0.996832	0.000284565
0.95	0.05	0.12	0.783546	0.995341	0.000233665
0.95	0.05	0.16	0.782418	0.993909	0.000191925
0.95	0.05	0.2	0.781335	0.992532	0.000157685
0.95	0.05	0.24	0.780292	0.991208	0.000129588
0.95	0.05	0.28	0.779289	0.989934	0.000106525
0.95	0.05	0.32	0.778324	0.988708	8.75879e-05
0.95	0.05	0.36	0.777395	0.987528	7.20346e-05
0.95	0.05	0.4	0.776501	0.986391	5.92567e-05
0.95	0.05	0.44	0.775639	0.985297	4.87562e-05
0.95	0.05	0.48	0.774809	0.984242	4.01249e-05
0.95	0.05	0.52	0.774008	0.983225	3.30284e-05
0.95	0.05	0.56	0.773237	0.982245	2.71923e-05
0.95	0.05	0.6	0.772493	0.9813	2.23918e-05
0.95	0.05	0.64	0.771775	0.980388	1.84421e-05
0.95	0.05	0.68	0.771082	0.979508	1.51918e-05
0.95	0.05	0.72	0.770414	0.978659	1.25165e-05
0.95	0.05	0.76	0.769769	0.97784	1.0314e-05
0.95	0.05	0.8	0.769146	0.977049	8.50042e-06
0.95	0.05	0.84	0.768545	0.976285	7.00682e-06
0.95	0.05	0.88	0.767964	0.975547	5.77652e-06
0.95	0.05	0.92	0.767402	0.974834	4.76293e-06
0.95	0.05	0.96	0.76686	0.974145	3.92773e-06
0.95	0.05	1	0.766336	0.973479	3.23942e-06
0.95	0.05	1.04	0.765829	0.972835	2.67208e-06
0.95	0.05	1.08	0.765339	0.972213	2.20438e-06
0.95	0.05	1.12	0.764866	0.971611	1.81876e-06
0.95	0.05	1.16	0.764408	0.971029	1.50077e-06
0.95	0.05	1.2	0.763965	0.970467	1.23852e-06
0.95	0.05	1.24	0.763536	0.969922	1.02221e-06
0.95	0.05	1.28	0.763121	0.969395	8.4377e-07
0.95	0.05	1.32	0.76272	0.968886	6.96548e-07
0.95	0.05	1.36	0.762332	0.968392	5.75071e-07
0.95	0.05	1.4	0.761956	0.967915	4.74825e-07
0.95	0.05	1.44	0.761592	0.967452	3.9209e-07
0.95	0.05	1.48	0.761239	0.967005	3.238e-07
0.95	0.05	1.52	0.760898	0.966571	2.67428e-07
0.95	0.05	1.56	0.760568	0.966152	2.20888e-07
0.95	0.05	1.6	0.760248	0.965745	1.82463e-07
0.95	0.05	1.64	0.759938	0.965352	1.50734e-07
0.95	0.05	1.68	0.759638	0.96497	1.24532e-07
0.95	0.05	1.72	0.759347	0.964601	1.02892e-07
0.95	0.05	1.76	0.759065	0.964243	8.50185e-08
0.95	0.05	1.8	0.758792	0.963896	7.02549e-08
0.95	0.05	1.84	0.758528	0.96356	5.80589e-08
0.95	0.05	1.88	0.758271	0.963234	4.79832e-08
0.95	0.05	1.92	0.758023	0.962918	3.96586e-08
0.95	0.05	1.96	0.757782	0.962612	3.27803e-08
0.95	0.05	2	0.757548	0.962316	2.70965e-08
0.95	0.05	2.04	0.757322	0.962028	2.23996e-08
0.95	0.05	2.08	0.757102	0.961749	1.85178e-08
0.95	0.05	2.12	0.756889	0.961479	1.53096e-08
0.95	0.05	2.16	0.756683	0.961216	1.26579e-08
0.95	0.05	2.2	0.756483	0.960962	1.0466e-08
0.95	0.05	2.24	0.756288	0.960716	8.65406e-09
0.95	0.05	2.28	0.7561	0.960476	7.15618e-09
0.95	0.05	2.32	0.755917	0.960244	5.91784e-09
0.95	0.05	2.36	0.75574	0.960019	4.894e-09
0.95	0.05	2.4	0.755568	0.959801	4.04748e-09
0.95	0.05	2.44	0.755402	0.959589	3.34752e-09
0.95	0.05	2.48	0.75524	0.959384	2.76873e-09
0.95	0.05	2.52	0.755083	0.959184	2.2901e-09
0.95	0.05	2.56	0.754931	0.958991	1.89428e-09
0.95	0.05	2.6	0.754783	0.958803	1.56694e-09
0.95	0.05	2.64	0.75464	0.958621	1.29621e-09
0.95	0.05	2.68	0.754501	0.958445	1.07229e-09
0.95	0.05	2.72	0.754366	0.958273	8.8709e-10
0.95	0.05	2.76	0.754235	0.958107	7.33898e-10
0.95	0.05	2.8	0.754107	0.957945	6.07181e-10
0.95	0.05	2.84	0.753984	0.957788	5.02358e-10
0.95	0.05	2.88	0.753864	0.957636	4.15645e-10
0.95	0.05	2.92	0.753748	0.957488	3.4391e-10
0.95	0.05	2.96	0.753635	0.957345	2.84564e-10
0.95	0.05	3	0.753526	0.957206	2.35465e-10
0.95	0.05	3.04	0.753419	0.957071	1.94843e-10
0.95	0.05	3.08	0.753316	0.95694	1.61233e-10
0.95	0.05	3.12	0.753216	0.956812	1.33424e-10
0.95	0.05	3.16	0.753118	0.956689	1.10415e-10
0.95	0.05	3.2	0.753024	0.956569	9.13754e-11
0.95	0.05	3.24	0.752932	0.956452	7.56209e-11
0.95	0.05	3.28	0.752843	0.956339	6.25841e-11
0.95	0.05	3.32	0.752757	0.956229	5.17959e-11
0.95	0.05	3.36	0.752673	0.956122	4.28684e-11
0.95	0.05	3.4	0.752591	0.956019	3.54803e-11
0.95	0.05	3.44	0.752512	0.955918	2.93661e-11
0.95	0.05	3.48	0.752435	0.95582	2.4306e-11
0.95	0.05	3.52	0.75236	0.955725	2.01182e-11
0.95	0.05	3.56	0.752288	0.955633	1.66523e-11
