# Filename: vlt_FPquench_vsl_3_T_0.999_0.95_P_00.050_lmax10_dl0.008_tmax100_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 6 (2011 Apr 12 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.999, qTfrac=0.95, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, FPconst=1, Lconst=1

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
0.999	0.001	0	0.29591	1	1	0.0396688
0.999	0.001	0.04	0.301966	1.02047	0.980452	0.0323637
0.999	0.001	0.08	0.307803	1.04019	0.960217	0.0263347
0.999	0.001	0.12	0.313409	1.05914	0.939371	0.0213753
0.999	0.001	0.16	0.318776	1.07728	0.917993	0.0173086
0.999	0.001	0.2	0.323898	1.09458	0.896168	0.0139842
0.999	0.001	0.24	0.328769	1.11104	0.873979	0.0112743
0.999	0.001	0.28	0.33339	1.12666	0.851512	0.00907143
0.999	0.001	0.32	0.337761	1.14143	0.82885	0.00728523
0.999	0.001	0.36	0.341886	1.15537	0.806075	0.00584044
0.999	0.001	0.4	0.345769	1.16849	0.783264	0.00467446
0.999	0.001	0.44	0.349417	1.18082	0.760493	0.00373549
0.999	0.001	0.48	0.352839	1.19239	0.737828	0.00298084
0.999	0.001	0.52	0.356043	1.20321	0.715335	0.00237546
0.999	0.001	0.56	0.359039	1.21334	0.69307	0.00189067
0.999	0.001	0.6	0.361839	1.2228	0.671087	0.00150307
0.999	0.001	0.64	0.364452	1.23163	0.649431	0.00119364
0.999	0.001	0.68	0.366892	1.23988	0.628143	0.000946964
0.999	0.001	0.72	0.369169	1.24757	0.607258	0.000750564
0.999	0.001	0.76	0.371294	1.25475	0.586806	0.000594383
0.999	0.001	0.8	0.37328	1.26146	0.566812	0.000470321
0.999	0.001	0.84	0.375137	1.26774	0.547296	0.000371874
0.999	0.001	0.88	0.376876	1.27362	0.528274	0.000293828
0.999	0.001	0.92	0.378507	1.27913	0.509758	0.000232009
0.999	0.001	0.96	0.380042	1.28432	0.491756	0.000183084
0.999	0.001	1	0.381489	1.28921	0.474273	0.000144393
0.999	0.001	1.04	0.382858	1.29383	0.457312	0.000113816
0.999	0.001	1.08	0.384159	1.29823	0.440872	8.96687e-05
0.999	0.001	1.12	0.385398	1.30242	0.424952	7.06097e-05
0.999	0.001	1.16	0.386585	1.30643	0.409548	5.55759e-05
0.999	0.001	1.2	0.387728	1.31029	0.394652	4.37235e-05
0.999	0.001	1.24	0.388833	1.31403	0.380258	3.4384e-05
0.999	0.001	1.28	0.389908	1.31766	0.366358	2.70282e-05
0.999	0.001	1.32	0.39096	1.32121	0.352943	2.12374e-05
0.999	0.001	1.36	0.391995	1.32471	0.340001	1.66807e-05
0.999	0.001	1.4	0.393019	1.32817	0.327523	1.30966e-05
0.999	0.001	1.44	0.394038	1.33161	0.315496	1.02786e-05
0.999	0.001	1.48	0.395058	1.33506	0.303911	8.06382e-06
0.999	0.001	1.52	0.396085	1.33853	0.292753	6.32384e-06
0.999	0.001	1.56	0.397125	1.34205	0.282012	4.95737e-06
0.999	0.001	1.6	0.398182	1.34562	0.271676	3.88463e-06
0.999	0.001	1.64	0.399262	1.34927	0.261731	3.04281e-06
0.999	0.001	1.68	0.400371	1.35302	0.252167	2.38243e-06
0.999	0.001	1.72	0.401513	1.35688	0.242971	1.86459e-06
0.999	0.001	1.76	0.402695	1.36087	0.234131	1.45867e-06
0.999	0.001	1.8	0.403921	1.36501	0.225635	1.14061e-06
0.999	0.001	1.84	0.405198	1.36933	0.217473	8.91485e-07
0.999	0.001	1.88	0.40653	1.37383	0.209633	6.96434e-07
0.999	0.001	1.92	0.407923	1.37854	0.202103	5.43784e-07
0.999	0.001	1.96	0.409384	1.38347	0.194874	4.24369e-07
0.999	0.001	2	0.410918	1.38866	0.187935	3.30995e-07
0.999	0.001	2.04	0.412532	1.39411	0.181275	2.58016e-07
0.999	0.001	2.08	0.414232	1.39986	0.174885	2.01005e-07
0.999	0.001	2.12	0.416026	1.40592	0.168755	1.56491e-07
0.999	0.001	2.16	0.41792	1.41232	0.162876	1.21753e-07
0.999	0.001	2.2	0.419921	1.41909	0.157239	9.46588e-08
0.999	0.001	2.24	0.422039	1.42624	0.151836	7.3539e-08
0.999	0.001	2.28	0.424281	1.43382	0.146657	5.70862e-08
0.999	0.001	2.32	0.426657	1.44185	0.141695	4.42775e-08
0.999	0.001	2.36	0.429175	1.45036	0.136943	3.43126e-08
0.999	0.001	2.4	0.431845	1.45938	0.132392	2.65656e-08
0.999	0.001	2.44	0.434678	1.46895	0.128035	2.05475e-08
0.999	0.001	2.48	0.437685	1.47912	0.123866	1.58763e-08
0.999	0.001	2.52	0.440879	1.48991	0.119877	1.22536e-08
0.999	0.001	2.56	0.44427	1.50137	0.116063	9.44657e-09
0.999	0.001	2.6	0.447873	1.51355	0.112416	7.27366e-09
0.999	0.001	2.64	0.451703	1.52649	0.108932	5.59334e-09
0.999	0.001	2.68	0.455773	1.54024	0.105604	4.29531e-09
0.999	0.001	2.72	0.4601	1.55486	0.102426	3.29376e-09
0.999	0.001	2.76	0.464701	1.57041	0.0993942	2.52189e-09
0.999	0.001	2.8	0.469594	1.58695	0.0965025	1.9278e-09
0.999	0.001	2.84	0.474799	1.60454	0.0937463	1.47115e-09
0.999	0.001	2.88	0.480336	1.62325	0.0911208	1.12066e-09
0.999	0.001	2.92	0.486227	1.64316	0.0886216	8.52058e-10
0.999	0.001	2.96	0.492495	1.66434	0.0862443	6.46541e-10
0.999	0.001	3	0.499164	1.68688	0.0839847	4.89563e-10
0.999	0.001	3.04	0.506261	1.71086	0.0818389	3.69877e-10
0.999	0.001	3.08	0.513814	1.73639	0.079803	2.78799e-10
0.999	0.001	3.12	0.521851	1.76355	0.0778733	2.09632e-10
0.999	0.001	3.16	0.530405	1.79245	0.0760462	1.57217e-10
0.999	0.001	3.2	0.539507	1.82321	0.0743182	1.17587e-10
0.999	0.001	3.24	0.549193	1.85595	0.0726861	8.76966e-11
0.999	0.001	3.28	0.559499	1.89077	0.0711465	6.52084e-11
0.999	0.001	3.32	0.570463	1.92783	0.0696964	4.83348e-11
0.999	0.001	3.36	0.582127	1.96724	0.0683327	3.57099e-11
0.999	0.001	3.4	0.594531	2.00916	0.0670523	2.62919e-11
0.999	0.001	3.44	0.607721	2.05374	0.0658524	1.92883e-11
0.999	0.001	3.48	0.621743	2.10112	0.0647302	1.40973e-11
0.999	0.001	3.52	0.636645	2.15148	0.0636827	1.02632e-11
0.999	0.001	3.56	0.652476	2.20498	0.0627071	7.44151e-12
0.999	0.001	3.6	0.669289	2.2618	0.0618008	5.37284e-12
0.999	0.001	3.64	0.687136	2.32211	0.0609609	3.86228e-12
0.999	0.001	3.68	0.706071	2.3861	0.0601846	2.76385e-12
0.999	0.001	3.72	0.726152	2.45396	0.0594693	1.96856e-12
0.999	0.001	3.76	0.747435	2.52589	0.0588121	1.39536e-12
0.999	0.001	3.8	0.769977	2.60207	0.0582102	9.84157e-13
0.999	0.001	3.84	0.793838	2.6827	0.0576609	6.90605e-13
0.999	0.001	3.88	0.819078	2.768	0.0571614	4.82091e-13
0.999	0.001	3.92	0.845755	2.85815	0.0567089	3.34747e-13
0.999	0.001	3.96	0.873931	2.95337	0.0563004	2.31181e-13
0.999	0.001	4	0.903666	3.05385	0.0559333	1.58782e-13
0.999	0.001	4.04	0.935019	3.15981	0.0556047	1.08453e-13
0.999	0.001	4.08	0.968052	3.27144	0.0553118	7.36632e-14
0.999	0.001	4.12	1.00283	3.38896	0.0550519	4.97523e-14
