T/Tc	1-T/Tc	l	K	y	F	Kr	Kr/K0
1	1e-08	14.2756	5.00041	6.75171e-06	-0.0549485	3.1564e-06	9.89061e-06
1	1.25893e-08	14.1209	5.00022	6.7506e-06	-0.0549485	3.68434e-06	1.15449e-05
1	1.58489e-08	13.9662	5.00003	6.7495e-06	-0.0549485	4.3006e-06	1.3476e-05
1	1.99526e-08	13.8116	5.00034	6.7513e-06	-0.0549485	5.01993e-06	1.573e-05
1	2.51189e-08	13.6569	5.00015	6.75019e-06	-0.0549485	5.85958e-06	1.83611e-05
1	3.16228e-08	13.5023	5.00046	6.75199e-06	-0.0549485	6.83968e-06	2.14322e-05
1	3.98107e-08	13.3476	5.00027	6.75089e-06	-0.0549485	7.9837e-06	2.5017e-05
1	5.01187e-08	13.1929	5.00008	6.74978e-06	-0.0549485	9.31909e-06	2.92015e-05
1	6.30957e-08	13.0383	5.00039	6.75158e-06	-0.0549485	1.08778e-05	3.40858e-05
1	7.94328e-08	12.8836	5.0002	6.75048e-06	-0.0549485	1.26973e-05	3.97871e-05
1	1e-07	12.7289	5.00001	6.74937e-06	-0.0549484	1.48211e-05	4.6442e-05
1	1.25893e-07	12.5743	5.00032	6.75117e-06	-0.0549484	1.73001e-05	5.42101e-05
1	1.58489e-07	12.4196	5.00013	6.75007e-06	-0.0549484	2.01938e-05	6.32774e-05
1	1.99526e-07	12.265	5.00044	6.75187e-06	-0.0549484	2.35715e-05	7.38614e-05
1	2.51189e-07	12.1103	5.00025	6.75076e-06	-0.0549484	2.75141e-05	8.62157e-05
1	3.16228e-07	11.9556	5.00006	6.74966e-06	-0.0549484	3.21162e-05	0.000100636
1	3.98107e-07	11.801	5.00037	6.75146e-06	-0.0549484	3.74881e-05	0.000117469
0.999999	5.01187e-07	11.6463	5.00018	6.75035e-06	-0.0549483	4.37584e-05	0.000137118
0.999999	6.30957e-07	11.4917	5.00049	6.75216e-06	-0.0549483	5.10776e-05	0.000160052
0.999999	7.94328e-07	11.337	5.0003	6.75105e-06	-0.0549482	5.9621e-05	0.000186823
0.999999	1e-06	11.1823	5.00011	6.74995e-06	-0.0549482	6.95934e-05	0.000218072
0.999999	1.25893e-06	11.0277	5.00042	6.75176e-06	-0.0549481	8.12339e-05	0.000254547
0.999998	1.58489e-06	10.873	5.00023	6.75065e-06	-0.054948	9.48214e-05	0.000297123
0.999998	1.99526e-06	10.7183	5.00004	6.74955e-06	-0.0549479	0.000110682	0.000346821
0.999997	2.51189e-06	10.5637	5.00035	6.75136e-06	-0.0549477	0.000129194	0.000404832
0.999997	3.16228e-06	10.409	5.00016	6.75027e-06	-0.0549475	0.000150804	0.000472545
0.999996	3.98107e-06	10.2544	5.00048	6.75208e-06	-0.0549472	0.000176028	0.000551584
0.999995	5.01187e-06	10.0997	5.00029	6.75099e-06	-0.0549469	0.000205471	0.000643843
0.999994	6.30957e-06	9.945	5.0001	6.7499e-06	-0.0549465	0.000239839	0.000751534
0.999992	7.94328e-06	9.7904	5.00041	6.75172e-06	-0.054946	0.000279956	0.000877238
0.99999	1e-05	9.6357	5.00023	6.75065e-06	-0.0549454	0.000326782	0.00102397
0.999987	1.25893e-05	9.481	5.00005	6.74958e-06	-0.0549446	0.000381442	0.00119524
0.999984	1.58489e-05	9.3264	5.00036	6.75142e-06	-0.0549435	0.000445243	0.00139515
0.99998	1.99526e-05	9.1717	5.00018	6.75038e-06	-0.0549423	0.000519717	0.00162851
0.999975	2.51189e-05	9.017	5.00001	6.74934e-06	-0.0549406	0.000606648	0.00190089
0.999968	3.16228e-05	8.8624	5.00033	6.75123e-06	-0.0549386	0.000708121	0.00221883
0.99996	3.98107e-05	8.7077	5.00016	6.75024e-06	-0.0549361	0.000826567	0.00258995
0.99995	5.01187e-05	8.5531	5.00049	6.75219e-06	-0.0549329	0.000964826	0.00302314
0.999937	6.30957e-05	8.3984	5.00034	6.75126e-06	-0.0549288	0.00112621	0.00352878
0.999921	7.94328e-05	8.2437	5.00018	6.75039e-06	-0.0549237	0.0013146	0.00411898
0.9999	0.0001	8.089	5.00004	6.74957e-06	-0.0549173	0.0015345	0.00480788
0.999874	0.000125893	7.9344	5.00042	6.75173e-06	-0.0549093	0.00179118	0.00561199
0.999842	0.000158489	7.7797	5.0003	6.75108e-06	-0.0548992	0.00209082	0.00655056
0.9998	0.000199526	7.625	5.00021	6.75054e-06	-0.0548864	0.00244058	0.00764606
0.999749	0.000251189	7.4703	5.00015	6.75015e-06	-0.0548704	0.00284887	0.00892473
0.999684	0.000316228	7.3156	5.00011	6.74994e-06	-0.0548502	0.00332549	0.0104172
0.999602	0.000398107	7.1609	5.00012	6.74997e-06	-0.0548248	0.00388187	0.012159
0.999499	0.000501187	7.0062	5.00018	6.75028e-06	-0.054793	0.00453139	0.014192
0.999369	0.000630957	6.8515	5.0003	6.75096e-06	-0.0547529	0.00528965	0.0165647
