T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
1	1e-08	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	1.25893e-08	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	1.58489e-08	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	1.99526e-08	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	2.51189e-08	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	3.16228e-08	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	3.98107e-08	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	5.01187e-08	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	6.30957e-08	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	7.94328e-08	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	1e-07	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	1.25893e-07	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	1.58489e-07	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	1.99526e-07	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	2.51189e-07	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	3.16228e-07	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
1	3.98107e-07	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
0.999999	5.01187e-07	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
0.999999	6.30957e-07	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
0.999999	7.94328e-07	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.79999	1.02719
0.999999	1e-06	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.8	1.02719
0.999999	1.25893e-06	0	2.53	5.10505	1	0	5.10505	1	0.495588	6.8	1.02719
0.999998	1.58489e-06	0	2.53	5.10505	1	0	5.10505	1	0.495587	6.8	1.02719
0.999998	1.99526e-06	0	2.53	5.10506	1	0	5.10506	1	0.495587	6.8	1.02719
0.999997	2.51189e-06	0	2.53	5.10506	1	0	5.10506	1	0.495587	6.8	1.02719
0.999997	3.16228e-06	0	2.53	5.10506	1	0	5.10506	1	0.495587	6.8	1.0272
0.999996	3.98107e-06	0	2.53	5.10507	1	0	5.10507	1	0.495586	6.8	1.0272
0.999995	5.01187e-06	0	2.53	5.10507	1	0	5.10507	1	0.495586	6.80001	1.0272
0.999994	6.30957e-06	0	2.53	5.10508	1	0	5.10508	1	0.495585	6.80001	1.0272
0.999992	7.94328e-06	0	2.53	5.10509	1	0	5.10509	1	0.495584	6.80002	1.0272
0.99999	1e-05	0	2.53	5.1051	1	0	5.1051	1	0.495583	6.80002	1.0272
0.999987	1.25893e-05	0	2.53	5.10511	1	0	5.10511	1	0.495582	6.80003	1.0272
0.999984	1.58489e-05	0	2.53	5.10513	1	0	5.10513	1	0.49558	6.80004	1.0272
0.99998	1.99526e-05	0	2.53	5.10515	1	0	5.10515	1	0.495578	6.80005	1.0272
0.999975	2.51189e-05	0	2.53	5.10517	1	0	5.10517	1	0.495576	6.80006	1.0272
0.999968	3.16228e-05	0	2.53	5.10521	1	0	5.10521	1	0.495572	6.80008	1.02721
0.99996	3.98107e-05	0	2.53	5.10525	1	0	5.10525	1	0.495568	6.80011	1.02721
0.99995	5.01187e-05	0	2.53	5.1053	1	0	5.1053	1	0.495563	6.80014	1.02722
0.999937	6.30957e-05	0	2.53	5.10537	1	0	5.10537	1	0.495557	6.80017	1.02722
0.999921	7.94328e-05	0	2.53	5.10545	1	0	5.10545	1	0.495549	6.80022	1.02723
0.9999	0.0001	0	2.53	5.10556	1	0	5.10556	1	0.495539	6.80028	1.02724
0.999874	0.000125893	0	2.53	5.10569	1	0	5.10569	1	0.495526	6.80036	1.02725
0.999842	0.000158489	0	2.53	5.10585	1	0	5.10585	1	0.49551	6.80045	1.02727
0.9998	0.000199526	0	2.53	5.10606	1	0	5.10606	1	0.495489	6.80057	1.02728
0.999749	0.000251189	0	2.53	5.10633	1	0	5.10633	1	0.495464	6.80073	1.02731
0.999684	0.000316228	0	2.53	5.10666	1	0	5.10666	1	0.495431	6.80092	1.02734
0.999602	0.000398107	0	2.53	5.10708	1	0	5.10708	1	0.495391	6.80117	1.02738
0.999499	0.000501187	0	2.53	5.10761	1	0	5.10761	1	0.49534	6.80148	1.02743
0.999369	0.000630957	0	2.53	5.10827	1	0	5.10827	1	0.495275	6.80188	1.02749
0.999206	0.000794328	0	2.53	5.1091	1	0	5.1091	1	0.495195	6.8024	1.02757
0.999	0.001	0	2.53	5.11016	1	0	5.11016	1	0.495093	6.80306	1.02767
0.998741	0.00125893	0	2.53	5.11148	1	0	5.11148	1	0.494964	6.80392	1.02781
0.998415	0.00158489	0	2.53	5.11315	1	0	5.11315	1	0.494803	6.80504	1.02798
0.998005	0.00199526	0	2.53	5.11525	1	0	5.11525	1	0.494599	6.8065	1.02821
0.997488	0.00251189	0	2.53	5.1179	1	0	5.1179	1	0.494343	6.80845	1.02851
0.996838	0.00316228	0	2.53	5.12124	1	0	5.12124	1	0.494021	6.81104	1.02891
0.996019	0.00398107	0	2.53	5.12545	1	0	5.12545	1	0.493615	6.81454	1.02946
0.994988	0.00501187	0	2.53	5.13076	1	0	5.13076	1	0.493104	6.81931	1.03019
0.99369	0.00630957	0	2.53	5.13746	1	0	5.13746	1	0.492461	6.82589	1.03121
