T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
0.205672	0.794328	1.0001	6.87794	4.08627	2.96338e-09	-8.68734e-08	1.5031	0.999997	1.68318
0.369043	0.630957	1.0001	6.87794	2.27234	1.7277e-06	-9.39239e-05	0.835865	0.997809	3.02681
0.498813	0.501187	1.0001	6.87794	1.65025	4.06551e-05	-0.00104133	0.607034	0.979457	4.16781
0.601893	0.398107	1.0001	6.87794	1.30758	0.000272043	-0.00353786	0.480983	0.936449	5.26006
0.683772	0.316228	1.0001	6.87794	1.07679	0.000994277	-0.00739852	0.396088	0.876068	6.38748
0.748811	0.251189	1.0001	6.87794	0.908782	0.0025532	-0.0120646	0.334289	0.809709	7.56831
0.800474	0.199526	1.0001	6.87794	0.783211	0.00518561	-0.017005	0.288098	0.745973	8.78172
0.841511	0.158489	1.0001	6.87794	0.688578	0.00890655	-0.0218334	0.253288	0.689461	9.98861
0.874107	0.125893	1.0001	6.87794	0.617021	0.0135091	-0.02631	0.226967	0.641744	11.147
0.9	0.1	1.0001	6.87794	0.562741	0.0186532	-0.0303097	0.207	0.602627	12.2222
0.920567	0.0794328	1.0001	6.87794	0.521402	0.0239745	-0.0337884	0.191794	0.571117	13.1912
0.936904	0.0630957	1.0001	6.87794	0.489768	0.0291625	-0.0367533	0.180158	0.545988	14.0433
0.949881	0.0501187	1.0001	6.87794	0.46544	0.033996	-0.0392418	0.171209	0.526054	14.7773
0.960189	0.0398107	1.0001	6.87794	0.446638	0.0383444	-0.0413058	0.164293	0.510281	15.3994
0.968377	0.0316228	1.0001	6.87794	0.432042	0.0421521	-0.043002	0.158924	0.497815	15.9196
0.974881	0.0251189	1.0001	6.87794	0.420667	0.0454172	-0.0443859	0.154739	0.487963	16.3501
0.980047	0.0199526	1.0001	6.87794	0.41177	0.0481715	-0.0455088	0.151466	0.480174	16.7034
0.984151	0.0158489	1.0001	6.87794	0.404792	0.0504656	-0.0464157	0.1489	0.474013	16.9913
0.987411	0.0125893	1.0001	6.87794	0.399305	0.0523573	-0.0471457	0.146881	0.469137	17.2248
0.99	0.01	1.0001	6.87794	0.394983	0.0539051	-0.0477317	0.145292	0.465276	17.4133
0.992057	0.00794328	1.0001	6.87794	0.391572	0.0551636	-0.0482011	0.144037	0.462217	17.5649
0.99369	0.00630957	1.0001	6.87794	0.388878	0.0561819	-0.0485764	0.143046	0.459792	17.6866
0.994988	0.00501187	1.0001	6.87794	0.386746	0.0570028	-0.0488761	0.142262	0.457869	17.7841
0.996019	0.00398107	1.0001	6.87794	0.385059	0.0576624	-0.0491151	0.141641	0.456343	17.862
0.996838	0.00316228	1.0001	6.87794	0.383722	0.0581913	-0.0493056	0.141149	0.455133	17.9243
0.997488	0.00251189	1.0001	6.87794	0.382663	0.0586144	-0.0494573	0.14076	0.454173	17.9739
0.998005	0.00199526	1.0001	6.87794	0.381823	0.0589525	-0.0495781	0.140451	0.45341	18.0134
