tempv	cap*8.31	l	Kr/K0	F	
1e-08	206036	14.4354	1.04424e-05	-0.0532385
1.49182e-08	83228.2	14.1774	1.35152e-05	-0.0532385
2.22554e-08	30951.8	13.9161	1.75526e-05	-0.0532385
3.32012e-08	10143.2	13.6523	2.28499e-05	-0.0532385
4.95303e-08	2708.62	13.387	2.97936e-05	-0.0532385
7.38906e-08	526.329	13.1205	3.88898e-05	-0.0532385
1.10232e-07	109.704	12.8534	5.08002e-05	-0.0532385
1.64446e-07	88.258	12.5857	6.63913e-05	-0.0532384
2.45325e-07	84.7486	12.3177	8.67962e-05	-0.0532384
3.65982e-07	82.7559	12.0495	0.000113498	-0.0532384
5.45982e-07	80.3267	11.7811	0.000148436	-0.0532383
8.14509e-07	78.927	11.5126	0.000194149	-0.0532383
1.2151e-06	75.2899	11.2441	0.000253956	-0.0532381
1.81272e-06	73.9696	10.9755	0.000332203	-0.0532379
2.70426e-06	71.47	10.7069	0.00043457	-0.0532377
4.03429e-06	69.2592	10.4383	0.000568494	-0.0532373
6.01845e-06	67.7494	10.1696	0.0007437	-0.0532367
8.97847e-06	65.2875	9.901	0.000972911	-0.0532358
1.33943e-05	61.6552	9.6323	0.00127277	-0.0532344
1.9982e-05	60.1548	9.3636	0.00166506	-0.0532324
2.98096e-05	57.526	9.0949	0.00217826	-0.0532294
4.44707e-05	55.6296	8.8263	0.00284963	-0.0532249
6.63424e-05	52.5808	8.5576	0.00372792	-0.0532183
9.89713e-05	50.2714	8.2889	0.00487688	-0.0532083
0.000147648	48.1353	8.0202	0.00637991	-0.0531935
0.000220265	45.4716	7.7515	0.00834605	-0.0531715
0.000328596	43.0485	7.4828	0.0109179	-0.0531386
0.000490208	40.3748	7.214	0.0142819	-0.0530896
0.000731304	37.8821	6.9452	0.0186815	-0.0530168
0.00109098	35.6141	6.6764	0.0244349	-0.0529086
0.00162755	32.8592	6.4075	0.031957	-0.0527481
0.00242802	29.9127	6.1385	0.0417885	-0.0525104
0.00362217	28.086	5.8692	0.0546326	-0.0521595
0.00540365	25.9093	5.5998	0.0714005	-0.0516434
0.0080613	23.1695	5.3299	0.0932675	-0.0508884
