T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
0.205672	0.794328	1.202	8.41671	5.00047	4.30719e-09	-8.69508e-08	1.5031	0.999997	1.68318
0.369043	0.630957	1.7888	15.1351	5.00013	3.05307e-07	-9.39587e-05	0.835824	0.997761	3.02695
0.498813	0.501187	2.0001	18.6962	4.48296	9.03462e-07	-0.00104208	0.606642	0.978825	4.1705
0.601893	0.398107	2.0001	18.6962	3.54211	2.08088e-06	-0.00354311	0.479325	0.93322	5.27826
0.683772	0.316228	2.0001	18.6962	2.89374	6.18866e-06	-0.00741907	0.391586	0.866112	6.4609
0.748811	0.251189	2.0001	18.6962	2.40192	1.92164e-05	-0.0121219	0.325032	0.787289	7.78384
0.800474	0.199526	2.0001	18.6962	2.01208	5.79232e-05	-0.0171319	0.272278	0.705008	9.29199
0.841511	0.158489	2.0001	18.6962	1.6964	0.000163142	-0.0220714	0.22956	0.624872	11.0211
0.874107	0.125893	2.0001	18.6962	1.4383	0.000419725	-0.0267027	0.194633	0.550321	12.9988
0.9	0.1	2.0001	18.6962	1.22682	0.000974177	-0.0308964	0.166016	0.483311	15.2395
0.920567	0.0794328	2.0001	18.6962	1.05418	0.00203039	-0.0345986	0.142654	0.424789	17.7353
0.936904	0.0630957	2.0001	18.6962	0.914324	0.00380619	-0.0378041	0.123728	0.374971	20.4481
0.949881	0.0501187	2.0001	18.6962	0.80211	0.00645855	-0.0405375	0.108543	0.333508	23.3087
0.960189	0.0398107	2.0001	18.6962	0.712919	0.0100152	-0.0428398	0.0964734	0.29964	26.2248
0.968377	0.0316228	2.0001	18.6962	0.64257	0.0143529	-0.0447594	0.0869537	0.272375	29.096
0.974881	0.0251189	2.0001	18.6962	0.587376	0.019231	-0.0463462	0.0794847	0.250651	31.83
0.980047	0.0199526	2.0001	18.6962	0.544198	0.0243573	-0.0476488	0.0736418	0.233457	34.3555
0.984151	0.0158489	2.0001	18.6962	0.510453	0.0294525	-0.0487117	0.0690754	0.219897	36.6266
0.987411	0.0125893	2.0001	18.6962	0.484071	0.0342929	-0.0495746	0.0655053	0.209223	38.6228
0.99	0.01	2.0001	18.6962	0.46342	0.0387267	-0.0502724	0.0627108	0.200823	40.3439
0.992057	0.00794328	2.0001	18.6962	0.44723	0.0426713	-0.0508346	0.0605199	0.194209	41.8044
0.99369	0.00630957	2.0001	18.6962	0.434514	0.0461001	-0.0512865	0.0587992	0.188998	43.0278
0.994988	0.00501187	2.0001	18.6962	0.42451	0.0490257	-0.0516487	0.0574454	0.184888	44.0418
0.996019	0.00398107	2.0001	18.6962	0.416626	0.0514856	-0.0519386	0.0563786	0.181642	44.8752
0.996838	0.00316228	2.0001	18.6962	0.410406	0.0535297	-0.0521703	0.0555369	0.179077	45.5553
0.997488	0.00251189	2.0001	18.6962	0.405492	0.0552127	-0.0523552	0.0548719	0.177049	46.1074
0.998005	0.00199526	2.0001	18.6962	0.401606	0.0565881	-0.0525026	0.054346	0.175443	46.5536
0.998415	0.00158489	2.0001	18.6962	0.39853	0.0577056	-0.0526201	0.0539297	0.17417	46.9129
0.998741	0.00125893	2.0001	18.6962	0.396093	0.0586093	-0.0527136	0.0536	0.173162	47.2015
0.999	0.001	2.0001	18.6962	0.394163	0.0593375	-0.0527881	0.0533388	0.172363	47.4327
1.00126	-0.00125893	2.0001	18.6962	0.377491	0.0660952	-0.053443	0.0510828	0.165446	49.5274
1.00158	-0.00158489	2.0001	18.6962	0.375112	0.0671332	-0.0535383	0.0507608	0.164457	49.8416
1.002	-0.00199526	2.0001	18.6962	0.372126	0.0684634	-0.0536586	0.0503568	0.163214	50.2415
1.00251	-0.00251189	2.0001	18.6962	0.368383	0.0701763	-0.0538105	0.0498502	0.161656	50.7521
1.00316	-0.00316228	2.0001	18.6962	0.363695	0.0723946	-0.0540026	0.0492158	0.159702	51.4063
1.00398	-0.00398107	2.0001	18.6962	0.357833	0.0752886	-0.0542455	0.0484226	0.157256	52.2484
1.00501	-0.00501187	2.0001	18.6962	0.350518	0.0790988	-0.0545534	0.0474327	0.1542	53.3387
1.00631	-0.00630957	2.0001	18.6962	0.341414	0.0841736	-0.0549441	0.0462007	0.150389	54.761
1.00794	-0.00794328	2.0001	18.6962	0.330124	0.0910308	-0.055441	0.0446729	0.145652	56.6339
1.01	-0.01	2.0001	18.6962	0.31619	0.100465	-0.0560749	0.0427874	0.139789	59.1296
1.01259	-0.0125893	2.0001	18.6962	0.29911	0.11374	-0.0568865	0.0404761	0.132577	62.506
1.01585	-0.0158489	2.0001	18.6962	0.278371	0.132947	-0.0579307	0.0376696	0.123781	67.1629
1.01995	-0.0199526	2.0001	18.6962	0.253527	0.161706	-0.0592826	0.0343077	0.11319	73.7443
1.02512	-0.0251189	2.0001	18.6962	0.224345	0.206601	-0.0610484	0.0303588	0.100669	83.3366
1.03162	-0.0316228	2.0001	18.6962	0.191039	0.280249	-0.0633816	0.0258517	0.0862671	97.8658
1.03981	-0.0398107	2.0001	18.6962	0.154595	0.408186	-0.0665152	0.0209201	0.0703643	120.936
1.05012	-0.0501187	2.0001	18.6962	0.117087	0.64482	-0.0708203	0.0158444	0.0538205	159.678
1.0631	-0.0630957	2.0001	18.6962	0.0816622	1.1112	-0.0769259	0.0110507	0.0380011	228.945
1.07943	-0.0794328	2.0001	18.6962	0.0517905	2.08406	-0.0859699	0.00700839	0.0244708	360.996
1.1	-0.1	2.0001	18.6962	0.0297906	4.20004	-0.10014	0.00403132	0.0143442	627.586
1.12589	-0.125893	2.0001	18.6962	0.015728	8.9031	-0.123822	0.00212833	0.00775125	1188.72
1.15849	-0.158489	2.0001	18.6962	0.00780632	19.3748	-0.165989	0.00105636	0.00395859	2395.01
1.19953	-0.199526	2.0001	18.6962	0.00374672	42.3651	-0.244892	0.000507013	0.00196727	4990.01
1.25119	-0.251189	2.0001	18.6962	0.00178333	91.5705	-0.396745	0.000241323	0.000976691	10483.9
1.31623	-0.316228	2.0001	18.6962	0.000858154	193.364	-0.690447	0.000116127	0.000494423	21786.5
