T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
0.205672	0.794328	1.202	8.41671	5.00047	4.30719e-09	-8.69508e-08	1.5031	0.999997	1.68318
0.369043	0.630957	1.7888	15.1351	5.00013	3.05307e-07	-9.39587e-05	0.835824	0.997761	3.02695
0.498813	0.501187	2.1093	20.8534	5.00012	1.23898e-06	-0.00104208	0.606628	0.978803	4.17059
0.601893	0.398107	2.345	26.3962	5.00036	2.47124e-06	-0.00354311	0.47927	0.933113	5.27886
0.683772	0.316228	2.5473	32.3146	5.00016	3.62858e-06	-0.00741908	0.391476	0.865868	6.46272
0.748811	0.251189	2.7339	38.9438	5.00014	4.55378e-06	-0.0121219	0.324836	0.786814	7.78854
0.800474	0.199526	2.9117	46.5217	5.00022	5.23548e-06	-0.017132	0.271928	0.704103	9.30393
0.841511	0.158489	3	50.8164	4.59845	4.37016e-06	-0.0220715	0.228943	0.623193	11.0508
0.874107	0.125893	3	50.8164	3.887	4.30882e-06	-0.0267031	0.193522	0.547181	13.0734
0.9	0.1	3	50.8164	3.29518	6.49587e-06	-0.0308974	0.164058	0.47761	15.4214
0.920567	0.0794328	3	50.8164	2.79982	1.27073e-05	-0.0346007	0.139395	0.415086	18.1499
0.936904	0.0630957	3	50.8164	2.38338	2.87346e-05	-0.0378083	0.118661	0.359617	21.3212
0.949881	0.0501187	3	50.8164	2.0323	6.9197e-05	-0.0405453	0.101182	0.310891	25.0044
0.960189	0.0398107	3	50.8164	1.73601	0.000167471	-0.0428529	0.0864308	0.268448	29.272
0.968377	0.0316228	3	50.8164	1.48626	0.000391287	-0.0447796	0.0739967	0.231789	34.1907
0.974881	0.0251189	3	50.8164	1.2766	0.000859276	-0.0463755	0.0635579	0.200427	39.8062
0.980047	0.0199526	3	50.8164	1.10183	0.0017451	-0.0476885	0.0548569	0.173905	46.12
0.984151	0.0158489	3	50.8164	0.957601	0.00325238	-0.0487628	0.0476762	0.151774	53.0663
0.987411	0.0125893	3	50.8164	0.839944	0.00555687	-0.0496376	0.0418184	0.133567	60.4997
0.99	0.01	3	50.8164	0.745067	0.00873836	-0.0503472	0.0370947	0.118791	68.2038
0.992057	0.00794328	3	50.8164	0.669326	0.0127395	-0.0509207	0.0333238	0.106937	75.9217
0.99369	0.00630957	3	50.8164	0.609328	0.0173742	-0.0513829	0.0303367	0.097511	83.3975
0.994988	0.00501187	3	50.8164	0.562044	0.0223775	-0.0517545	0.0279825	0.0900616	90.4136
0.996019	0.00398107	3	50.8164	0.524888	0.027469	-0.0520526	0.0261326	0.0841949	96.8138
0.996838	0.00316228	3	50.8164	0.495723	0.0324037	-0.0522913	0.0246806	0.0795821	102.51
0.997488	0.00251189	3	50.8164	0.47283	0.0370004	-0.0524821	0.0235408	0.0759564	107.473
0.998005	0.00199526	3	50.8164	0.454846	0.0411468	-0.0526346	0.0226454	0.0731052	111.722
0.998415	0.00158489	3	50.8164	0.440701	0.0447918	-0.0527562	0.0219412	0.0708609	115.308
0.998741	0.00125893	3	50.8164	0.429562	0.0479306	-0.0528531	0.0213866	0.0690924	118.298
0.999	0.001	3	50.8164	0.420778	0.0505892	-0.0529303	0.0209493	0.0676971	120.768
1.00126	-0.00125893	3	50.8164	0.346996	0.0815094	-0.0536126	0.0172759	0.0559529	146.447
1.00158	-0.00158489	3	50.8164	0.336833	0.0873815	-0.0537124	0.0167699	0.0543318	150.865
1.002	-0.00199526	3	50.8164	0.324235	0.0953984	-0.0538385	0.0161427	0.0523211	156.727
1.00251	-0.00251189	3	50.8164	0.308701	0.106574	-0.0539981	0.0153693	0.0498402	164.613
1.00316	-0.00316228	3	50.8164	0.28969	0.122564	-0.0542004	0.0144228	0.0468012	175.416
1.00398	-0.00398107	3	50.8164	0.266673	0.146196	-0.0544572	0.0132769	0.0431178	190.557
1.00501	-0.00501187	3	50.8164	0.23924	0.182549	-0.0547842	0.0119111	0.0387219	212.408
1.00631	-0.00630957	3	50.8164	0.207299	0.241264	-0.0552021	0.0103208	0.0335954	245.136
1.00794	-0.00794328	3	50.8164	0.171388	0.341768	-0.0557391	0.00853291	0.0278207	296.499
1.01	-0.01	3	50.8164	0.133074	0.52567	-0.0564344	0.00662536	0.0216454	381.866
1.01259	-0.0125893	3	50.8164	0.0952159	0.887389	-0.0573456	0.00474052	0.0155272	533.697
1.01585	-0.0158489	3	50.8164	0.0616148	1.65157	-0.0585625	0.00306762	0.0100801	824.744
1.01995	-0.0199526	3	50.8164	0.0356357	3.36907	-0.0602372	0.0017742	0.00585352	1426
1.02512	-0.0251189	3	50.8164	0.0184694	7.40548	-0.0626538	0.000919539	0.00304915	2751.38
1.03162	-0.0316228	3	50.8164	0.00874015	17.1351	-0.066389	0.000435147	0.00145208	5814.13
1.03981	-0.0398107	3	50.8164	0.00388221	40.8163	-0.0726944	0.000193284	0.000650108	13089.5
1.05012	-0.0501187	3	50.8164	0.00166225	98.4366	-0.0843932	8.27587e-05	0.000281117	30570.8
1.0631	-0.0630957	3	50.8164	0.000700053	237.767	-0.107971	3.48536e-05	0.000119855	72589.4
1.07943	-0.0794328	3	50.8164	0.000293916	571.276	-0.158359	1.46332e-05	5.1094e-05	172894
1.1	-0.1	3	50.8164	0.000124101	1358.84	-0.269641	6.17864e-06	2.19847e-05	409475
1.12589	-0.125893	3	50.8164	5.30227e-05	3187.09	-0.51823	2.63985e-06	9.61414e-06	958390
1.15849	-0.158489	3	50.8164	2.30379e-05	7342.64	-1.0711	1.14699e-06	4.2982e-06	2.20578e+06
1.19953	-0.199526	3	50.8164	1.02266e-05	16549.2	-2.28098	5.09151e-07	1.97556e-06	4.96906e+06
1.25119	-0.251189	3	50.8164	4.6596e-06	36329.5	-4.86233	2.31988e-07	9.38908e-07	1.09057e+07
1.31623	-0.316228	3	50.8164	2.1897e-06	77316.9	-10.1899	1.09019e-07	4.64159e-07	2.32071e+07
1.39811	-0.398107	3	50.8164	1.06646e-06	158759	-20.7513	5.3096e-08	2.40125e-07	4.76495e+07
