T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
0.99	0.01	0.2	3.09015	0.338087	0.0473637	-0.0210081	0.276802	0.886421	9.1401
0.99	0.01	0.4	3.77432	0.358123	0.0511514	-0.03377	0.240057	0.768749	10.5392
0.99	0.01	0.6	4.60996	0.373292	0.0533334	-0.0412071	0.204867	0.656057	12.3495
0.99	0.01	0.8	5.63062	0.385065	0.0541737	-0.0454103	0.173021	0.554076	14.6225
0.99	0.01	1	6.87725	0.394978	0.0539055	-0.0477309	0.145304	0.465317	17.4117
0.99	0.01	1.2	8.3999	0.404428	0.0526769	-0.0489878	0.121811	0.390083	20.7698
0.99	0.01	1.4	10.2597	0.41468	0.0505507	-0.0496565	0.102259	0.327469	24.7412
0.99	0.01	1.6	12.5312	0.426974	0.0475287	-0.0500056	0.0862046	0.276058	29.3488
0.99	0.01	1.8	15.3056	0.44267	0.0435881	-0.0501838	0.0731729	0.234326	34.5756
0.99	0.01	2	18.6943	0.463408	0.0387293	-0.0502723	0.0627155	0.200838	40.3409
0.99	0.01	2.2	22.8333	0.491301	0.033033	-0.0503148	0.0544377	0.174329	46.4752
0.99	0.01	2.4	27.8886	0.529145	0.0267201	-0.0503342	0.0480029	0.153723	52.7051
0.99	0.01	2.6	34.0633	0.580651	0.0201907	-0.0503426	0.043127	0.138108	58.6639
0.99	0.01	2.8	41.605	0.650635	0.0140007	-0.0503459	0.0395651	0.126702	63.9452
0.99	0.01	3	50.8164	0.745067	0.00873836	-0.0503472	0.0370947	0.118791	68.2038
0.99	0.01	3.2	62.0673	0.87087	0.00482026	-0.0503476	0.0354986	0.113679	71.2705
0.99	0.01	3.4	75.8092	1.03548	0.00232012	-0.0503477	0.0345572	0.110665	73.212
0.99	0.01	3.6	92.5935	1.24648	0.000972612	-0.0503477	0.0340585	0.109068	74.284
0.99	0.01	3.8	113.094	1.51189	0.000360417	-0.0503477	0.0338222	0.108311	74.8029
0.99	0.01	4	138.133	1.84109	0.000122508	-0.0503477	0.0337207	0.107986	75.0282
0.99	0.01	4.2	168.716	2.24595	4.07603e-05	-0.0503477	0.0336793	0.107853	75.1203
0.99	0.01	4.4	206.071	2.74181	1.46815e-05	-0.0503477	0.0336621	0.107798	75.1586
0.99	0.01	4.6	251.695	3.34804	6.63442e-06	-0.0503477	0.0336539	0.107772	75.177
0.99	0.01	4.8	307.421	4.08864	4.63613e-06	-0.0503477	0.0336485	0.107754	75.1892
0.99	0.01	5	375.485	4.9929	6.69857e-06	-0.0503477	0.0336419	0.107733	75.2039
0.99	0.01	5.0015	376.049	5.00038	6.74178e-06	-0.0503477	0.0336418	0.107733	75.2041
