# Filename: vlt_FPquench_vsl_3_T_0.75_0.5_P_00.050_lmax10_dl0.008_tmax100_dt00.0001_equil.dat
# Source: vlt_FPquench.c
# Source version: 7 (2011 Apr 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.75, qTfrac=0.5, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=100, dt0=0.0001, a0=1, a03=1, a06=1, FPconst=1, Lconst=1

# time step n_t = 0	t = 0.000000e+00	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	dG
0.75	0.25	0	0.394152	1	1	0.0135873	0
0.75	0.25	0.04	0.406572	1.03151	0.991063	0.0106364	0
0.75	0.25	0.08	0.419292	1.06378	0.981995	0.00828765	0
0.75	0.25	0.12	0.432335	1.09687	0.97284	0.00642736	0
0.75	0.25	0.16	0.445725	1.13084	0.963642	0.00496121	0
0.75	0.25	0.2	0.459489	1.16577	0.954448	0.0038114	0
0.75	0.25	0.24	0.473658	1.20171	0.945302	0.00291411	0
0.75	0.25	0.28	0.488267	1.23878	0.936249	0.00221735	0
0.75	0.25	0.32	0.503352	1.27705	0.927328	0.00167901	0
0.75	0.25	0.36	0.518952	1.31663	0.918581	0.00126513	0
0.75	0.25	0.4	0.535111	1.35763	0.910045	0.000948542	0
0.75	0.25	0.44	0.551875	1.40016	0.901752	0.000707606	0
0.75	0.25	0.48	0.56929	1.44434	0.893734	0.000525183	0
0.75	0.25	0.52	0.587407	1.4903	0.886017	0.000387778	0
0.75	0.25	0.56	0.606278	1.53818	0.878625	0.000284824	0
0.75	0.25	0.6	0.625959	1.58812	0.871576	0.000208092	0
0.75	0.25	0.64	0.646505	1.64024	0.864887	0.000151212	0
0.75	0.25	0.68	0.667974	1.69471	0.858569	0.000109279	0
0.75	0.25	0.72	0.690425	1.75167	0.85263	7.85362e-05	0
0.75	0.25	0.76	0.713918	1.81128	0.847073	5.61246e-05	0
0.75	0.25	0.8	0.738516	1.87368	0.8419	3.988e-05	0
0.75	0.25	0.84	0.764279	1.93905	0.837107	2.81739e-05	0
0.75	0.25	0.88	0.791271	2.00753	0.832688	1.9788e-05	0
0.75	0.25	0.92	0.819555	2.07929	0.828636	1.38164e-05	0
0.75	0.25	0.96	0.849195	2.15449	0.824937	9.58986e-06	0
0.75	0.25	1	0.880254	2.23329	0.82158	6.61666e-06	0
0.75	0.25	1.04	0.912796	2.31585	0.818547	4.53804e-06	0
0.75	0.25	1.08	0.946886	2.40234	0.815823	3.09387e-06	0
0.75	0.25	1.12	0.982587	2.49291	0.813387	2.09676e-06	0
0.75	0.25	1.16	1.01997	2.58775	0.811223	1.41085e-06	0
0.75	0.25	1.2	1.0591	2.68703	0.809318	9.36e-07	0
0.75	0.25	1.24	1.10007	2.79098	0.807666	6.11231e-07	0
0.75	0.25	1.28	1.14297	2.89981	0.806255	3.92596e-07	0
0.75	0.25	1.32	1.18786	3.01372	0.80507	2.47835e-07	0
0.75	0.25	1.36	1.23484	3.13289	0.804091	1.5364e-07	0
0.75	0.25	1.4	1.28396	3.25753	0.803297	9.3456e-08	0
0.75	0.25	1.44	1.33531	3.38781	0.802666	5.57312e-08	0
0.75	0.25	1.48	1.38895	3.5239	0.802173	3.2553e-08	0
0.75	0.25	1.52	1.44496	3.66599	0.801796	1.86073e-08	0
0.75	0.25	1.56	1.5034	3.81427	0.801515	1.03984e-08	0
0.75	0.25	1.6	1.56435	3.96891	0.801309	5.67567e-09	0
0.75	0.25	1.64	1.6279	4.13013	0.801162	3.0227e-09	0
0.75	0.25	1.68	1.69412	4.29813	0.80106	1.5691e-09	0
0.75	0.25	1.72	1.7631	4.47315	0.800991	7.93077e-10	0
0.75	0.25	1.76	1.83495	4.65544	0.800945	3.89861e-10	0
0.75	0.25	1.8	1.90977	4.84526	0.800915	1.8618e-10	0
0.75	0.25	1.84	1.98766	5.04288	0.800897	8.6271e-11	0
0.75	0.25	1.88	2.06875	5.24861	0.800886	3.8741e-11	0
0.75	0.25	1.92	2.15316	5.46277	0.80088	1.6838e-11	0
0.75	0.25	1.96	2.24102	5.68568	0.800876	7.07367e-12	0
0.75	0.25	2	2.33247	5.9177	0.800874	2.86833e-12	0
0.75	0.25	2.04	2.42766	6.1592	0.800873	1.12103e-12	0
0.75	0.25	2.08	2.52673	6.41056	0.800872	4.2165e-13	0
0.75	0.25	2.12	2.62985	6.67217	0.800872	1.5239e-13	0
0.75	0.25	2.16	2.73718	6.94447	0.800872	5.28356e-14	0
0.75	0.25	2.2	2.84888	7.22788	0.800872	1.75437e-14	0
0.75	0.25	2.24	2.96515	7.52285	0.800872	5.56899e-15	0
0.75	0.25	2.28	3.08616	7.82987	0.800872	1.68692e-15	0
0.75	0.25	2.32	3.21211	8.14941	0.800872	4.86684e-16	0
0.75	0.25	2.36	3.3432	8.48199	0.800872	1.33466e-16	0
0.75	0.25	2.4	3.47963	8.82815	0.800872	3.47186e-17	0
0.75	0.25	2.44	3.62164	9.18843	0.800872	8.54856e-18	0
0.75	0.25	2.48	3.76944	9.56342	0.800872	1.98786e-18	0
0.75	0.25	2.52	3.92328	9.95371	0.800872	4.35543e-19	0
0.75	0.25	2.56	4.08339	10.3599	0.800872	8.96958e-20	0
0.75	0.25	2.6	4.25003	10.7827	0.800872	1.73187e-20	0
0.75	0.25	2.64	4.42348	11.2228	0.800872	3.12692e-21	0
0.75	0.25	2.68	4.60401	11.6808	0.800872	5.26492e-22	0
0.75	0.25	2.72	4.7919	12.1575	0.800872	8.24339e-23	0
0.75	0.25	2.76	4.98746	12.6536	0.800872	1.19667e-23	0
0.75	0.25	2.8	5.191	13.1701	0.800872	1.6057e-24	0
0.75	0.25	2.84	5.40285	13.7075	0.800872	1.98512e-25	0
0.75	0.25	2.88	5.62335	14.2669	0.800872	2.25369e-26	0
0.75	0.25	2.92	5.85284	14.8492	0.800872	2.34149e-27	0
0.75	0.25	2.96	6.0917	15.4552	0.800872	2.2183e-28	0
0.75	0.25	3	6.34031	16.0859	0.800872	1.90923e-29	0
0.75	0.25	3.04	6.59906	16.7424	0.800872	1.48707e-30	0
0.75	0.25	3.08	6.86837	17.4257	0.800872	1.04397e-31	0
0.75	0.25	3.12	7.14867	18.1368	0.800872	6.57859e-33	0
0.75	0.25	3.16	7.44042	18.877	0.800872	3.70499e-34	0
0.75	0.25	3.2	7.74407	19.6474	0.800872	1.8566e-35	0
0.75	0.25	3.24	8.06011	20.4492	0.800872	8.23995e-37	0
0.75	0.25	3.28	8.38905	21.2838	0.800872	3.22364e-38	0
0.75	0.25	3.32	8.73141	22.1524	0.800872	1.10627e-39	0
0.75	0.25	3.36	9.08775	23.0565	0.800872	3.31353e-41	0
0.75	0.25	3.4	9.45862	23.9974	0.800872	8.61807e-43	0
0.75	0.25	3.44	9.84464	24.9768	0.800872	1.93621e-44	0
0.75	0.25	3.48	10.2464	25.9961	0.800872	3.73785e-46	0
0.75	0.25	3.52	10.6646	27.057	0.800872	6.16758e-48	0
0.75	0.25	3.56	11.0998	28.1612	0.800872	8.65245e-50	0
0.75	0.25	3.6	11.5528	29.3105	0.800872	1.0267e-51	0
0.75	0.25	3.64	12.0243	30.5067	0.800872	1.02533e-53	0
0.75	0.25	3.68	12.515	31.7517	0.800872	8.5775e-56	0
0.75	0.25	3.72	13.0257	33.0475	0.800872	5.98565e-58	0
0.75	0.25	3.76	13.5573	34.3962	0.800872	3.47197e-60	0
0.75	0.25	3.8	14.1106	35.7999	0.800872	1.66964e-62	0
0.75	0.25	3.84	14.6865	37.2609	0.800872	6.64769e-65	0
0.75	0.25	3.88	15.2858	38.7816	0.800872	2.19214e-67	0
0.75	0.25	3.92	15.9097	40.3643	0.800872	6.00248e-70	0
0.75	0.25	3.96	16.559	42.0116	0.800872	1.37219e-72	0
0.75	0.25	4	17.2347	43.7261	0.800872	2.64277e-75	0
0.75	0.25	4.04	17.9381	45.5106	0.800872	4.34702e-78	0
0.75	0.25	4.08	18.6702	47.3679	0.800872	6.22547e-81	0
0.75	0.25	4.12	19.4321	49.3011	0.800872	7.96678e-84	0
0.75	0.25	4.16	20.2252	51.3131	0.800872	9.4234e-87	0
0.75	0.25	4.2	21.0506	53.4072	0.800872	1.0751e-89	0
0.75	0.25	4.24	21.9096	55.5868	0.800872	1.24622e-92	0
0.75	0.25	4.28	22.8038	57.8553	0.800872	1.56078e-95	0
0.75	0.25	4.32	23.7344	60.2164	0.800872	2.26567e-98	0
0.75	0.25	4.36	24.7031	62.6739	0.800872	4.11887e-101	0
0.75	0.25	4.4	25.7112	65.2317	0.800872	1.01805e-103	0
0.75	0.25	4.44	26.7605	67.8939	0.800872	3.7205e-106	0
0.75	0.25	4.48	27.8526	70.6647	0.800872	2.18292e-108	0
0.75	0.25	4.52	28.9893	73.5485	0.800872	2.22263e-110	0
0.75	0.25	4.56	30.1724	76.5501	0.800872	4.21573e-112	0
0.75	0.25	4.6	31.4037	79.6742	0.800872	1.58546e-113	0
0.75	0.25	4.64	32.6853	82.9257	0.800872	1.24694e-114	0
0.75	0.25	4.68	34.0193	86.31	0.800872	2.14354e-115	0
0.75	0.25	4.72	35.4076	89.8324	0.800872	8.34701e-116	0
0.75	0.25	4.76	36.8526	93.4985	0.800872	7.57361e-116	0
0.75	0.25	4.8	38.3566	97.3143	0.800872	1.63649e-115	0
0.75	0.25	4.84	39.922	101.286	0.800872	8.56054e-115	0
0.75	0.25	4.88	41.5512	105.419	0.800872	1.09729e-113	0
0.75	0.25	4.92	43.247	109.722	0.800872	3.47637e-112	0
0.75	0.25	4.96	45.0119	114.199	0.800872	2.73825e-110	0
0.75	0.25	5	46.8489	118.86	0.800872	5.3828e-108	0
0.75	0.25	5.04	48.7608	123.711	0.800872	2.64648e-105	0
0.75	0.25	5.08	50.7508	128.759	0.800872	3.25726e-102	0
0.75	0.25	5.12	52.822	134.014	0.800872	1.00359e-98	0
0.75	0.25	5.16	54.9777	139.483	0.800872	7.73504e-95	0
0.75	0.25	5.2	57.2213	145.176	0.800872	1.4895e-90	0
0.75	0.25	5.24	59.5566	151.101	0.800872	7.15455e-86	0
0.75	0.25	5.28	61.9871	157.267	0.800872	8.5559e-81	0
0.75	0.25	5.32	64.5169	163.685	0.800872	2.54201e-75	0
0.75	0.25	5.36	67.1499	170.365	0.800872	1.87217e-69	0
0.75	0.25	5.4	69.8903	177.318	0.800872	3.41001e-63	0
0.75	0.25	5.44	72.7426	184.555	0.800872	1.53237e-56	0
0.75	0.25	5.48	75.7113	192.086	0.800872	1.69476e-49	0
0.75	0.25	5.52	78.8011	199.926	0.800872	4.60172e-42	0
0.75	0.25	5.56	82.017	208.085	0.800872	3.06005e-34	0
0.75	0.25	5.6	85.3642	216.577	0.800872	4.97123e-26	0
0.75	0.25	5.64	92.1	233.666	0.830185	1.86046e-17	0
