# Filename: 2DKT_FPinject_vst_IC0_T0.1_lmax10_dl0.008_tmax10_dt01e-05_linj3_InjConst1e-06.dat
# Source: 2DKT_FPquench.c
# Source version: 2 (2011 May 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.1, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1e-06, tmax=10, dt0=1e-05, a0=1, a04=1, K0c=0.747853
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vpdens
0	0	0.1	0.9	10	7.47853	1	8.32893e-237	1.24307e-33
1	1e-05	0.95	0.05	10	7.47853	1	6.59557e-237	1.24281e-33
2	2e-05	0.95	0.05	10	7.47853	1	6.59557e-237	1.24257e-33
3	3e-05	0.95	0.05	10	7.47853	1	6.59557e-237	1.24233e-33
4	4e-05	0.95	0.05	10	7.47853	1	6.59557e-237	1.24211e-33
6	6e-05	0.95	0.05	10	7.47853	1	6.59557e-237	1.24169e-33
8	8e-05	0.95	0.05	10	7.47853	1	6.59557e-237	1.24131e-33
10	0.0001	0.95	0.05	10	7.47853	1	6.59557e-237	1.24094e-33
12	0.00012	0.95	0.05	10	7.47853	1	6.59557e-237	1.24059e-33
14	0.00014	0.95	0.05	10	7.47853	1	6.59557e-237	1.24026e-33
17	0.00017	0.95	0.05	10	7.47853	1	6.59557e-237	1.2398e-33
20	0.0002	0.95	0.05	10	7.47853	1	6.59557e-237	1.23936e-33
24	0.00024	0.95	0.05	10	7.47853	1	6.59557e-237	1.23883e-33
28	0.00028	0.95	0.05	10	7.47853	1	6.59557e-237	1.23833e-33
32	0.00032	0.95	0.05	10	7.47853	1	6.59557e-237	1.23786e-33
37	0.00037	0.95	0.05	10	7.47853	1	6.59557e-237	1.23733e-33
43	0.00043	0.95	0.05	10	7.47853	1	6.59557e-237	1.23674e-33
49	0.00049	0.95	0.05	10	7.47853	1	6.59557e-237	1.2362e-33
56	0.00056	0.95	0.05	10	7.47853	1	6.59557e-237	1.23562e-33
64	0.00064	0.95	0.05	10	7.47853	1	6.59557e-237	1.23503e-33
73	0.00073	0.95	0.05	10	7.47853	1	6.59557e-237	1.23444e-33
83	0.00083	0.95	0.05	10	7.47853	1	6.59557e-237	1.23385e-33
94	0.00094	0.95	0.05	10	7.47853	1	6.59557e-237	1.23327e-33
107	0.00107	0.95	0.05	10	7.47853	1	6.59557e-237	1.23268e-33
121	0.00121	0.95	0.05	10	7.47853	1	6.59557e-237	1.23213e-33
137	0.00137	0.95	0.05	10	7.47853	1	6.59557e-237	1.23158e-33
155	0.00155	0.95	0.05	10	7.47853	1	6.59557e-237	1.23107e-33
175	0.00175	0.95	0.05	10	7.47853	1	6.59557e-237	1.23058e-33
197	0.00197	0.95	0.05	10	7.47853	1	6.59557e-237	1.23014e-33
222	0.00222	0.95	0.05	10	7.47853	1	6.59557e-237	1.22973e-33
250	0.0025	0.95	0.05	10	7.47853	1	6.59557e-237	1.22937e-33
282	0.00282	0.95	0.05	10	7.47853	1	6.59557e-237	1.22903e-33
318	0.00318	0.95	0.05	10	7.47853	1	6.59557e-237	1.22874e-33
357	0.00357	0.95	0.05	10	7.47853	1	6.59557e-237	1.22851e-33
402	0.00402	0.95	0.05	10	7.47853	1	6.59557e-237	1.2283e-33
452	0.00452	0.95	0.05	10	7.47853	1	6.59557e-237	1.22814e-33
508	0.00508	0.95	0.05	10	7.47853	1	6.59557e-237	1.22801e-33
572	0.00572	0.95	0.05	10	7.47853	1	6.59557e-237	1.22791e-33
642	0.00642	0.95	0.05	10	7.47853	1	6.59557e-237	1.22783e-33
722	0.00722	0.95	0.05	10	7.47853	1	6.59557e-237	1.22778e-33
811	0.00811	0.95	0.05	10	7.47853	1	6.59557e-237	1.22774e-33
911	0.00911	0.95	0.05	10	7.47853	1	6.59557e-237	1.22772e-33
1023	0.01023	0.95	0.05	10	7.47853	1	6.59557e-237	1.2277e-33
1149	0.01149	0.95	0.05	10	7.47853	1	6.59557e-237	1.22769e-33
1290	0.0129	0.95	0.05	10	7.47853	1	6.59557e-237	1.22769e-33
1449	0.01449	0.95	0.05	10	7.47853	1	6.59557e-237	1.22769e-33
1627	0.01627	0.95	0.05	10	7.47853	1	6.59557e-237	1.22768e-33
1826	0.01826	0.95	0.05	10	7.47853	1	6.59557e-237	1.22768e-33
2050	0.0205	0.95	0.05	10	7.47853	1	6.59557e-237	1.22768e-33
2301	0.02301	0.95	0.05	10	7.47853	1	6.59557e-237	1.22768e-33
2583	0.02583	0.95	0.05	10	7.47853	1	6.59557e-237	1.22768e-33
2899	0.02899	0.95	0.05	10	7.47853	1	6.59557e-237	1.22768e-33
3254	0.03254	0.95	0.05	10	7.47853	1	6.59557e-237	1.22768e-33
3652	0.03652	0.95	0.05	10	7.47853	1	6.59557e-237	1.22768e-33
4099	0.04099	0.95	0.05	10	7.47853	1	6.59557e-237	1.22768e-33
4600	0.046	0.95	0.05	10	7.47853	1	6.59556e-237	1.22768e-33
5162	0.05162	0.95	0.05	10	7.47853	1	6.59556e-237	1.22768e-33
5793	0.05793	0.95	0.05	10	7.47853	1	6.59556e-237	1.22768e-33
6501	0.06501	0.95	0.05	10	7.47853	1	6.59556e-237	1.22768e-33
7296	0.07296	0.95	0.05	10	7.47853	1	6.59556e-237	1.22768e-33
8187	0.08187	0.95	0.05	10	7.47853	1	6.59556e-237	1.22768e-33
9187	0.09187	0.95	0.05	10	7.47853	1	6.59556e-237	1.22768e-33
10309	0.10309	0.95	0.05	10	7.47853	1	6.59556e-237	1.22768e-33
11568	0.11568	0.95	0.05	10	7.47853	1	6.59555e-237	1.22768e-33
12980	0.1298	0.95	0.05	10	7.47853	1	6.59555e-237	1.22768e-33
14565	0.14565	0.95	0.05	10	7.47853	1	6.59555e-237	1.22768e-33
16343	0.16343	0.95	0.05	10	7.47853	1	6.59555e-237	1.22768e-33
18339	0.18339	0.95	0.05	10	7.47853	1	6.59555e-237	1.22768e-33
20577	0.20577	0.95	0.05	10	7.47853	1	6.59554e-237	1.22768e-33
23089	0.23089	0.95	0.05	10	7.47853	1	6.59554e-237	1.22768e-33
25908	0.25908	0.95	0.05	10	7.47853	1	6.59554e-237	1.22768e-33
29070	0.2907	0.95	0.05	10	7.47853	1	6.59553e-237	1.22768e-33
32618	0.32618	0.95	0.05	10	7.47853	1	6.59553e-237	1.22768e-33
36599	0.36599	0.95	0.05	10	7.47853	1	6.59552e-237	1.22768e-33
41066	0.41066	0.95	0.05	10	7.47853	1	6.59552e-237	1.22768e-33
46078	0.46078	0.95	0.05	10	7.47853	1	6.59551e-237	1.22768e-33
51701	0.51701	0.95	0.05	10	7.47853	1	6.5955e-237	1.22768e-33
58011	0.58011	0.95	0.05	10	7.47853	1	6.59549e-237	1.22768e-33
65090	0.6509	0.95	0.05	10	7.47853	1	6.59548e-237	1.22768e-33
73034	0.73034	0.95	0.05	10	7.47853	1	6.59547e-237	1.22768e-33
81946	0.81946	0.95	0.05	10	7.47853	1	6.59546e-237	1.22768e-33
91946	0.91946	0.95	0.05	10	7.47853	1	6.59545e-237	1.22768e-33
103166	1.03166	0.95	0.05	10	7.47853	1	6.59543e-237	1.22768e-33
