# Filename: vlt_FPquench_vsl_4_T_0.5_0.1_P_00.050_lmax10_dl0.008_tmax10000_dt00.0001.dat
# Source: vlt_FPquench.c
# Source version: 3 (2011 Mar 18 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=0.5, qTfrac=0.1, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=0.0001, a0=1, a06=1, CONST=0.6

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-04)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
0.5	0.5	0	0.591228	1	1	0.0015838
0.5	0.5	0.04	0.614419	1.03922	0.998476	0.00116137
0.5	0.5	0.08	0.638553	1.08004	0.997007	0.000846124
0.5	0.5	0.12	0.663674	1.12253	0.995599	0.000612454
0.5	0.5	0.16	0.689829	1.16677	0.994259	0.000440427
0.5	0.5	0.2	0.717066	1.21284	0.992991	0.000314648
0.5	0.5	0.24	0.745435	1.26082	0.9918	0.000223316
0.5	0.5	0.28	0.774986	1.31081	0.990687	0.000157454
0.5	0.5	0.32	0.805774	1.36288	0.989655	0.000110288
0.5	0.5	0.36	0.837851	1.41714	0.988703	7.67452e-05
0.5	0.5	0.4	0.871276	1.47367	0.987831	5.30558e-05
0.5	0.5	0.44	0.906105	1.53258	0.987038	3.64411e-05
0.5	0.5	0.48	0.942398	1.59397	0.98632	2.48687e-05
0.5	0.5	0.52	0.980216	1.65793	0.985675	1.68635e-05
0.5	0.5	0.56	1.01962	1.72458	0.985098	1.13636e-05
0.5	0.5	0.6	1.06068	1.79403	0.984586	7.61041e-06
0.5	0.5	0.64	1.10346	1.86639	0.984135	5.06618e-06
0.5	0.5	0.68	1.14803	1.94178	0.983738	3.35275e-06
0.5	0.5	0.72	1.19447	2.02031	0.983392	2.20622e-06
0.5	0.5	0.76	1.24283	2.10212	0.983092	1.44383e-06
0.5	0.5	0.8	1.29321	2.18734	0.982833	9.3994e-07
0.5	0.5	0.84	1.34569	2.27609	0.982611	6.08864e-07
0.5	0.5	0.88	1.40033	2.36852	0.982421	3.92559e-07
0.5	0.5	0.92	1.45724	2.46477	0.982259	2.51999e-07
