T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0	cp
       0.99999999	            1e-08	   14.29119999998	    5.00026570275	6.75085821951315e-06	-0.0523138965089589	3.10744737541073e-06	1.02262281993069e-05	 58161758.2175099
0.999999985081753	1.49182469764127e-08	 14.0224999999807	 5.00014295877246	6.75014356520585e-06	-0.0523138950270762	4.06525739892344e-06	1.3378263450191e-05	 25661606.5672891
0.999999977744591	2.22554092849247e-08	 13.7537999999813	  5.0000197643755	6.74942646130571e-06	-0.0523138928163681	5.31829319188698e-06	1.7501850417449e-05	 11254111.5514445
0.999999966798831	3.32011692273655e-08	 13.4851999999819	 5.00039630523231	6.75161881736801e-06	-0.0523138895183781	6.95755227818368e-06	2.28964507066376e-05	 4892465.06677464
0.999999950469676	4.95303242439512e-08	 13.2164999999825	 5.00027310310307	6.75090131219543e-06	-0.0523138845983585	9.10208118975018e-06	2.99538316857966e-05	 2097286.18052529
0.999999926109439	7.38905609893065e-08	 12.9477999999832	   5.000149909977	6.75018403270043e-06	-0.0523138772585573	1.19076190549747e-05	3.91865113952369e-05	 880498.073665992
0.999999889768236	1.10231763806416e-07	 12.6790999999838	 5.00002699030891	6.74946851800572e-06	-0.0523138663088707	1.55779097407693e-05	5.12649852643154e-05	 358005.444047054
0.999999835553532	1.64446467710971e-07	 12.4104999999844	 5.00040328839859	6.75165949105787e-06	-0.0523138499738819	2.03794924841259e-05	6.70663999623538e-05	 138524.659096894
0.999999754674698	2.45325301971094e-07	  12.141799999985	 5.00028036647041	6.75094360763132e-06	-0.0523138256049956	2.66610724836504e-05	8.77382990469543e-05	 49506.5767420038
0.999999634017656	3.6598234443678e-07	 11.8730999999857	 5.00015749961696	6.7502282172287e-06	-0.0523137892510032	3.48788270331995e-05	0.000114781901188958	 15558.4469057493
  0.9999994540185	5.45981500331442e-07	 11.6043999999863	 5.00003475844024	6.74951373042047e-06	-0.0523137350174686	4.56295449405147e-05	0.000150161155675843	 3968.22227437109
0.999999185491313	8.14508686649681e-07	 11.3357999999869	 5.00041155230329	6.75170762386367e-06	-0.0523136541110779	5.96939561040043e-05	0.000196445330325426	 790.040251389206
0.999998784895825	1.21510417518735e-06	 11.0670999999875	 5.00028928517813	6.75099554058865e-06	-0.052313533414084	7.80934608769789e-05	0.000256995692259472	 261.345119530013
0.999998187277581	1.81272241875151e-06	 10.7983999999882	 5.00016747767029	6.75028630242861e-06	-0.0523133533578245	0.000102164265642857	0.000336209462191433	 233.872873022106
0.999997295735926	2.70426407426153e-06	 10.5296999999888	 5.00004631450352	6.74958098129931e-06	-0.0523130847508331	0.000133654449373771	0.000439839215780614	 225.881233131954
0.999995965712065	4.03428793492735e-06	 10.2610999999894	 5.00042543839512	6.75178848638515e-06	-0.0523126840478715	0.000174850890156419	0.000575410519274282	 218.422521379366
0.999993981549621	6.01845037872082e-06	 9.99239999999005	 5.00030667028193	6.7510967404495e-06	-0.0523120862941806	0.000228745447560757	0.000752768690415406	 211.094398468575
0.999991021527084	8.97847291650418e-06	 9.72369999999068	 5.00019005407784	6.75041766418529e-06	-0.0523111946038495	0.000299252135474409	0.000984793243869708	 203.816116253252
0.999986605692356	1.33943076439442e-05	  9.4549999999913	 5.00007663983641	6.74975734206859e-06	-0.0523098644725421	0.00039149149781871	0.00128833326113086	 196.524382353753
0.999980018041049	1.99819589510412e-05	 9.18639999999193	 5.00046732670688	6.7520321895065e-06	-0.0523078803943065	0.000512162486624094	0.00168543026724777	 189.191268670472
 0.99997019042013	2.98095798704173e-05	 8.91769999999256	 5.00036580057639	6.75144052002437e-06	-0.0523049210191607	0.00067002942400429	0.00220491895096055	 181.869747007547
0.999955529332523	4.44706674769986e-05	 8.64899999999318	  5.0002748902953	6.75091049358966e-06	-0.0523005072613677	0.000876558501833908	0.00288451827062597	 174.471337005475
0.999933657559937	6.63424400627789e-05	 8.38029999999381	 5.00019980507111	6.75047212907601e-06	-0.0522939250692829	0.0011467514874998	0.00377356817532787	  167.01660940171
0.999901028709413	9.89712905874393e-05	 8.11159999999443	 5.00014830447985	6.75017001795916e-06	-0.0522841105958134	0.0015002366343179	0.00493660618560516	 159.546705928759
0.999852352184344	0.000147647815655773	 7.84289999999506	 5.00013194492848	6.75007033688999e-06	-0.0522694796957438	0.00196269706330995	0.00645804172822088	 151.988184762251
0.999779735342052	0.000220264657948067	 7.57419999999569	 5.00016792930286	6.75027115532379e-06	-0.0522476752353927	0.00256774164880048	0.00844826166635567	 144.398872154676
0.999671403743256	0.000328596256744433	 7.30549999999631	 5.00028185053273	6.75091753882822e-06	-0.0522151935779784	0.00335935691038457	0.0110515989862379	 136.773924925158
0.999509791988636	0.000490208011363818	 7.03669999999694	  5.0000124280036	6.74931602640852e-06	-0.0521668344730692	0.00439512370288253	0.0144567229333622	   129.1015267666
0.999268695581666	0.000731304418334156	 6.76799999999757	 5.00041479205017	6.75159422982942e-06	-0.0520948949138909	0.00575043869331098	0.0189101494693189	 121.421300499682
0.998909022007235	0.00109097799276508	 6.49909999999819	 5.00007475972182	6.74948843463351e-06	-0.0519879959746796	0.00752407698454617	0.0247338013085908	 113.645429749936
 0.99837245208581	0.00162754791419004	 6.23019999999882	 5.00011507160951	6.7494772344405e-06	-0.0518293918897807	0.00984551681092409	0.0323476554594811	 105.851445284984
