# Filename: 3Dvlt_macro_T_Cc0.79_lmax2_dl0.001_Op7.dat
# Source: 3Dvlt_macro_noifthen.c
# Source version: 1 (2011 Oct 27 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: N=3, Cc=0.792892311014899, K0c=0.365728618362282, lmax=2, lsteps=2000, (dl=0.001), lpts=2001, ldatamax=10, a0=1, a03=1, a06=1
# Option values: Op=7
T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	e
0	1	0	inf	-nan	-nan	0	0
0.001	0.999	0	365.729	1	1	0	0
0.002	0.998	0	182.864	1	1	0	0
0.003	0.997	0	121.91	1	1	0	0
0.004	0.996	0	91.4322	1	1	1.81953e-311	0
0.005	0.995	0	73.1457	1	1	2.5584e-249	0
0.006	0.994	0	60.9548	1	1	6.91789e-208	0
0.007	0.993	0	52.2469	1	1	2.71808e-178	0
0.008	0.992	0	45.7161	1	1	4.2656e-156	0
0.009	0.991	0	40.6365	1	1	7.82196e-139	0
0.01	0.99	0	36.5729	1	1	5.05806e-125	0
0.011	0.989	0	33.2481	1	1	1.00837e-113	0
0.012	0.988	0	30.4774	1	1	2.63019e-104	0
0.013	0.987	0	28.133	1	1	2.44163e-96	0
0.014	0.986	0	26.1235	1	1	1.64866e-89	0
0.015	0.985	0	24.3819	1	1	1.3677e-83	0
0.016	0.984	0	22.858	1	1	2.06533e-78	0
0.017	0.983	0	21.5134	1	1	7.66825e-74	0
0.018	0.982	0	20.3183	1	1	8.84419e-70	0
0.019	0.981	0	19.2489	1	1	3.81105e-66	0
0.02	0.98	0	18.2864	1	1	7.112e-63	0
0.021	0.979	0	17.4156	1	1	6.4777e-60	0
0.022	0.978	0	16.624	1	1	3.17549e-57	0
0.023	0.977	0	15.9012	1	1	9.08352e-55	0
0.024	0.976	0	15.2387	1	1	1.62179e-52	0
0.025	0.975	0	14.6291	1	1	1.91247e-50	0
0.026	0.974	0	14.0665	1	1	1.56257e-48	0
0.027	0.973	0	13.5455	1	1	9.2138e-47	0
0.028	0.972	0	13.0617	1	1	4.06037e-45	0
0.029	0.971	0	12.6113	1	1	1.37818e-43	0
0.03	0.97	0	12.191	1	1	3.69824e-42	0
0.031	0.969	0	11.7977	1	1	8.02622e-41	0
0.032	0.968	0	11.429	1	1	1.43713e-39	0
0.033	0.967	0	11.0827	1	1	2.16043e-38	0
0.034	0.966	0	10.7567	1	1	2.76916e-37	0
0.035	0.965	0	10.4494	1	1	3.06798e-36	0
0.036	0.964	0	10.1591	1	1	2.97392e-35	0
0.037	0.963	0	9.88456	1	1	2.54966e-34	0
0.038	0.962	0	9.62444	1	1	1.95219e-33	0
0.039	0.961	0	9.37766	1	1	1.34656e-32	0
0.04	0.96	0	9.14322	1	1	8.43327e-32	0
0.041	0.959	0	8.92021	1	1	4.82946e-31	0
0.042	0.958	0	8.70782	1	1	2.54513e-30	0
0.043	0.957	0	8.50532	1	1	1.24151e-29	0
0.044	0.956	0	8.31201	1	1	5.63515e-29	0
0.045	0.955	0	8.1273	1	1	2.39146e-28	0
0.046	0.954	0	7.95062	1	1	9.53075e-28	0
0.047	0.953	0	7.78146	1	1	3.58129e-27	0
0.048	0.952	0	7.61935	1	1	1.27349e-26	0
0.049	0.951	0	7.46385	1	1	4.29998e-26	0
0.05	0.95	0	7.31457	1	1	1.38292e-25	0
0.051	0.949	0	7.17115	1	1	4.24847e-25	0
0.052	0.948	0	7.03324	1	1	1.25003e-24	0
0.053	0.947	0	6.90054	1	1	3.53119e-24	0
0.054	0.946	0	6.77275	1	1	9.59885e-24	0
0.055	0.945	0	6.64961	1	1	2.51608e-23	0
0.056	0.944	0	6.53087	1	1	6.3721e-23	0
0.057	0.943	0	6.41629	1	1	1.562e-22	0
0.058	0.942	0	6.30567	1	1	3.71238e-22	0
0.059	0.941	0	6.19879	1	1	8.56798e-22	0
0.06	0.94	0	6.09548	1	1	1.92308e-21	0
0.061	0.939	0	5.99555	1	1	4.20343e-21	0
0.062	0.938	0	5.89885	1	1	8.95892e-21	0
0.063	0.937	0	5.80522	1	1	1.86412e-20	0
0.064	0.936	0	5.71451	1	1	3.79095e-20	0
0.065	0.935	0	5.62659	1	1	7.54286e-20	0
0.066	0.934	0	5.54134	1	1	1.46984e-19	0
0.067	0.933	0	5.45864	1	1	2.80773e-19	0
0.068	0.932	0	5.37836	1	1	5.26228e-19	0
0.069	0.931	0	5.30041	1	1	9.68467e-19	0
0.07	0.93	0	5.22469	1	1	1.75157e-18	0
0.071	0.929	0	5.15111	1	1	3.11544e-18	0
0.072	0.928	0	5.07956	1	1	5.45336e-18	0
0.073	0.927	0	5.00998	1	1	9.40045e-18	0
0.074	0.926	0.012	5.00194	1.01207	1	1.56171e-17	-6.06394e-19
0.075	0.925	0.026	5.00483	1.02634	1	2.53709e-17	-2.21054e-18
0.076	0.924	0.039	5.0036	1.03977	1	4.05426e-17	-5.48369e-18
0.077	0.923	0.052	5.00324	1.05338	1	6.36744e-17	-1.19013e-17
0.078	0.922	0.065	5.00373	1.06716	1	9.83637e-17	-2.38495e-17
