# Filename: 3Dvlt_K0cFind3_Plot_Op2112_Cc0.20.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=2, OpAa=1, OpB=1, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-08, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.387508189712343409372, y=0.0624210054576019024442, Kstar=0.387508189712343409372, ystar=0.0624210054576019024442, c=0.596855989378173079629, Z=3.70526847921412993969, lambda=-2.48878567955778740028, initialKdir=1, flowdir=-1, Max_steps=3
# Initialized values: Deltas=7.79664, Deltal=-35.4783, count_steps=0, count_loops=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=0.2
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	0.38750818971234341	0.062421005457601902	-35.4783	7.79664
1	0.38751791398650065	0.062423337515087121	-35.4783	7.79665
2	0.38751791640706235	0.06242333809557566	-35.4784	7.79665
3	0.38751791882822662	0.062423338676208695	-35.4785	7.79665
4	0.38751792124999357	0.062423339256986267	-35.4786	7.79665
5	0.38751792367236337	0.062423339837908411	-35.4787	7.79665
6	0.3875179260953362	0.062423340418975161	-35.4788	7.79665
7	0.38751792851891215	0.062423341000186552	-35.4789	7.79665
8	0.38751793094309139	0.062423341581542627	-35.479	7.79665
9	0.3875179333678741	0.062423342163043419	-35.4791	7.79665
10	0.38751793579326038	0.062423342744688956	-35.4792	7.79665
100	0.38751815656872712	0.062423395690094141	-35.4882	7.79665
200	0.38751840774547769	0.062423455926195463	-35.4982	7.79665
300	0.38751866525241802	0.062423517680367344	-35.5082	7.79665
400	0.3875189292490957	0.062423580990870892	-35.5182	7.79665
500	0.38751919989908001	0.062423645896931661	-35.5282	7.79665
600	0.38751947737006442	0.06242371243876401	-35.5382	7.79665
700	0.38751976183396941	0.062423780657596004	-35.5482	7.79665
800	0.38752005346704865	0.062423850595695038	-35.5582	7.79665
900	0.38752035245000033	0.062423922296393895	-35.5682	7.79665
1000	0.38752065896807714	0.062423995804117831	-35.5782	7.79665
1100	0.38752097321120221	0.062424071164411961	-35.5882	7.79665
1200	0.38752129537408636	0.062424148423969414	-35.5982	7.79665
1300	0.3875216256563499	0.062424227630660641	-35.6082	7.79665
1400	0.38752196426264457	0.062424308833562765	-35.6182	7.79665
1500	0.3875223114027822	0.062424392082990103	-35.6282	7.79665
1600	0.38752266729186452	0.062424477430525427	-35.6382	7.79665
1700	0.387523032150415	0.062424564929051941	-35.6482	7.79665
1800	0.38752340620451786	0.062424654632785993	-35.6582	7.79665
1900	0.38752378968595746	0.062424746597310822	-35.6682	7.79665
2000	0.38752418283236117	0.062424840879610956	-35.6782	7.79666
2100	0.38752458588734823	0.062424937538107496	-35.6882	7.79666
2200	0.38752499910068022	0.062425036632694483	-35.6982	7.79666
2300	0.38752542272841495	0.062425138224776064	-35.7082	7.79666
2400	0.38752585703306819	0.062425242377304409	-35.7182	7.79666
2500	0.38752630228377277	0.06242534915481885	-35.7282	7.79666
2600	0.38752675875644854	0.062425458623486009	-35.7382	7.79666
2700	0.38752722673397222	0.062425570851140685	-35.7482	7.79666
2800	0.38752770650635349	0.062425685907328061	-35.7582	7.79666
2900	0.38752819837091412	0.062425803863346729	-35.7682	7.79666
3000	0.38752870263247391	0.062425924792293135	-35.7782	7.79666
3100	0.38752921960353798	0.062426048769106679	-35.7882	7.79666
3200	0.38752974960449249	0.06242617587061635	-35.7982	7.79666
3300	0.38753029296380193	0.062426306175588413	-35.8082	7.79666
3400	0.38753085001821536	0.062426439764775299	-35.8182	7.79666
3500	0.38753142111297184	0.062426576720965528	-35.8282	7.79666
3600	0.38753200660201731	0.062426717129035428	-35.8382	7.79666
3700	0.38753260684822449	0.062426861076001407	-35.8482	7.79666
3800	0.38753322222361675	0.062427008651074312	-35.8582	7.79666
3900	0.3875338531095997	0.062427159945714586	-35.8682	7.79667
4000	0.38753449989719818	0.062427315053689106	-35.8782	7.79667
4100	0.38753516298729879	0.062427474071129446	-35.8882	7.79667
4200	0.38753584279089864	0.062427637096591451	-35.8982	7.79667
4300	0.38753653972936086	0.062427804231116428	-35.9082	7.79667
4400	0.38753725423467639	0.062427975578293965	-35.9182	7.79667
4500	0.38753798674973228	0.062428151244326172	-35.9282	7.79667
4600	0.3875387377285861	0.062428331338093716	-35.9382	7.79667
4700	0.3875395076367486	0.062428515971223258	-35.9482	7.79667
4800	0.38754029695147313	0.062428705258156941	-35.9582	7.79667
4900	0.3875411061620509	0.06242889931622337	-35.9682	7.79667
5000	0.38754193577011636	0.062429098265710505	-35.9782	7.79667
5100	0.38754278628995809	0.062429302229940482	-35.9882	7.79667
5200	0.38754365824883857	0.062429511335345939	-35.9982	7.79668
5300	0.3875445521873222	0.062429725711548804	-36.0082	7.79668
5400	0.38754546865960998	0.062429945491440771	-36.0182	7.79668
5500	0.38754640823388586	0.062430170811265763	-36.0282	7.79668
5600	0.38754737149266777	0.062430401810704715	-36.0382	7.79668
5700	0.38754835903317153	0.062430638632962339	-36.0482	7.79668
5800	0.38754937146768126	0.062430881424856019	-36.0582	7.79668
5900	0.38755040942392982	0.06243113033690717	-36.0682	7.79668
