# Filename: 3Dvlt_K0cFind3_Plot_Op3352_K40.000_y0.000_step1000000.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=5, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=                   40, y=9.99999999999999929293e-41, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1000000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.92208e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
0	               40	9.9999999999999993e-41	0	0
1	39.999600001999994	9.9516175234901024e-41	-1e-05	0.000399998
2	39.999200007999946	9.903469842336806e-41	-2e-05	0.000799992
3	39.99880001799982	9.8555558136726043e-41	-3e-05	0.00119998
4	39.998400031999573	9.8078743002095431e-41	-4e-05	0.00159997
5	39.998000049999163	9.7604241702118926e-41	-5e-05	0.00199995
6	39.997600071998555	9.7132042974689654e-41	-6e-05	0.00239993
7	39.997200097997705	9.6662135612680614e-41	-7e-05	0.0027999
8	39.996800127996579	9.6194508463675486e-41	-8e-05	0.00319987
9	39.996400161995133	9.5729150429700766e-41	-9e-05	0.00359984
10	39.996000199993325	9.5266050466959149e-41	-0.0001	0.0039998
100	39.960019993334974	6.1591593886035618e-41	-0.001	0.03998
200	39.920079946693299	3.7962374774756995e-41	-0.002	0.0799201
300	39.880179820134892	2.3415065386623281e-41	-0.003	0.11982
400	39.840319573759636	1.4452635115388726e-41	-0.004	0.15968
500	39.800499167707265	8.9270496527972481e-42	-0.005	0.199501
600	39.760718562157408	5.5179492246229199e-42	-0.006	0.239281
700	39.720977717329419	3.413153936027651e-42	-0.007	0.279022
800	39.681276593482451	2.1127206036554177e-42	-0.008	0.318723
900	39.641615150915349	1.3086872329813692e-42	-0.009	0.358385
1000	39.601993349966747	8.1121665827309028e-43	-0.01	0.398007
1100	39.562411151014778	5.0320464657968913e-43	-0.011	0.437589
1200	39.522868514477238	3.1236243850679373e-43	-0.012	0.477131
1300	39.483365400811536	1.940344919952817e-43	-0.013	0.516635
1400	39.443901770514522	1.2061592047119337e-43	-0.014	0.556098
1500	39.404477584122539	7.5030093962030551e-44	-0.015	0.595522
1600	39.365092802211429	4.6705830205922486e-44	-0.016	0.634907
1700	39.325747385396426	2.909450998513541e-44	-0.017	0.674253
1800	39.286441294332057	1.8136560873815331e-44	-0.018	0.713559
1900	39.247174489712279	1.1313640215626684e-44	-0.019	0.752826
2000	39.207946932270282	7.0624098966877235e-45	-0.02	0.792053
2100	39.16875858277843	4.411702346733951e-45	-0.021	0.831241
2200	39.129609402048459	2.7577939221695517e-45	-0.022	0.870391
2300	39.090499350931147	1.7251201093154499e-45	-0.023	0.909501
2400	39.051428390316438	1.079887175540523e-45	-0.024	0.948572
2500	39.012396481133372	6.7645443152321489e-46	-0.025	0.987604
2600	38.973403584350031	4.2403277315621044e-46	-0.026	1.0266
2700	38.934449660973563	2.6598712582360891e-46	-0.027	1.06555
2800	38.895534672049941	1.6696357043944356e-46	-0.028	1.10447
2900	38.856658578664266	1.0487750437558589e-46	-0.029	1.14334
3000	38.817821341940409	6.5923776875830858e-47	-0.03	1.18218
3100	38.779022923041111	4.1466801087639876e-47	-0.031	1.22098
3200	38.740263283167991	2.6101009467504592e-47	-0.032	1.25974
3300	38.70154238356136	1.644038543713153e-47	-0.033	1.29846
3400	38.662860185500357	1.0362492019025338e-47	-0.034	1.33714
3500	38.624216650302763	6.5360226590596625e-48	-0.035	1.37578
3600	38.58561173932501	4.1253387768141339e-48	-0.036	1.41439
3700	38.547045413962245	2.6055656667666476e-48	-0.037	1.45295
3800	38.508517635648097	1.6467981314725235e-48	-0.038	1.49148
3900	38.470028365854787	1.0415359194017886e-48	-0.039	1.52997
4000	38.431577566093033	6.5917888588198324e-49	-0.04	1.56842
4100	38.393165197912097	4.1747173782368272e-49	-0.041	1.60683
4200	38.354791222899529	2.6457282455047653e-49	-0.042	1.64521
4300	38.316455602681359	1.6778663234412385e-49	-0.043	1.68354
4400	38.278158298921966	1.0647877793622211e-49	-0.044	1.72184
4500	38.239899273324049	6.7617941290064978e-50	-0.045	1.7601
4600	38.201678487628648	4.2968839438902232e-50	-0.046	1.79832
4700	38.163495903614972	2.7323586643066556e-50	-0.047	1.8365
4800	38.125351483100324	1.7386565539324379e-50	-0.048	1.87465
4900	38.087245187940354	1.1070864109262548e-50	-0.049	1.91275
5000	38.049176980028705	7.054081471072713e-51	-0.05	1.95082
5100	38.011146821297267	4.4976977472570139e-51	-0.051	1.98885
5200	37.973154673715797	2.8696604887228487e-51	-0.052	2.02685
5300	37.935200499292144	1.8321492002379943e-51	-0.053	2.0648
5400	37.897284260072148	1.1705253858798594e-51	-0.054	2.10272
5500	37.859405918139586	7.4832478556762067e-52	-0.055	2.14059
5600	37.821565435616073	4.7872744922874897e-52	-0.056	2.17843
5700	37.78376277466112	3.064608842804809e-52	-0.057	2.21624
5800	37.745997897472115	1.9631338261957662e-52	-0.058	2.254
5900	37.708270766284159	1.2583820434558582e-52	-0.059	2.29173
6000	37.670581343370095	8.071653017160179e-53	-0.06	2.32942
6100	37.632929591040515	5.1808311412041437e-53	-0.061	2.36707
6200	37.595315471643673	3.3275377319723039e-53	-0.062	2.40468
6300	37.557738947565433	2.1386157197384526e-53	-0.063	2.44226
6400	37.520199981229275	1.3753978870591579e-53	-0.064	2.4798
6500	37.482698535096212	8.8513476941889381e-54	-0.065	2.5173
6600	37.44523457166482	5.7000086801308203e-54	-0.066	2.55477
6700	37.40780805347115	3.673045601517641e-54	-0.067	2.59219
6800	37.370418943088609	2.3684347781806476e-54	-0.068	2.62958
6900	37.333067203128131	1.5282009490184126e-54	-0.069	2.66693
7000	37.295752796237949	9.8669527070565184e-55	-0.07	2.70425
7100	37.25847568510374	6.3748327485003689e-55	-0.071	2.74152
7200	37.221235832448272	4.1213294401155077e-55	-0.072	2.77876
7300	37.184033201031724	2.6661727015359292e-55	-0.073	2.81597
7400	37.146867753651492	1.7259223598826256e-55	-0.074	2.85313
7500	37.10973945314214	1.1179847698875529e-55	-0.075	2.89026
7600	37.072648262375331	7.2465584025951451e-56	-0.076	2.92735
7700	37.035594144259861	4.7001163292182925e-56	-0.077	2.96441
7800	36.998577061741607	3.0504642675891418e-56	-0.078	3.00142
7900	36.961596977803509	1.9810864457437166e-56	-0.079	3.0384
8000	36.924653855465479	1.2874212858832496e-56	-0.08	3.07535
8100	36.887747657784381	8.3717710685887925e-57	-0.081	3.11225
8200	36.850878347854007	5.4474471777159794e-57	-0.082	3.14912
8300	36.81404588880509	3.546887089813007e-57	-0.083	3.18595
8400	36.777250243805128	2.3108937502424726e-57	-0.084	3.22275
8500	36.740491376058444	1.506574105034243e-57	-0.085	3.25951
8600	36.703769248806218	9.828303354712549e-58	-0.086	3.29623
8700	36.667083825326266	6.4156958751963169e-58	-0.087	3.33292
8800	36.630435068933203	4.1906923134653447e-58	-0.088	3.36956
8900	36.593822942978285	2.7390767525161317e-58	-0.089	3.40618
9000	 36.5572474108493	1.7914251940369662e-58	-0.09	3.44275
9100	36.520708435970818	1.172381165730643e-58	-0.091	3.47929
9200	36.48420598180379	7.6774022924018229e-59	-0.092	3.51579
9300	36.447740011845823	5.0307727998589077e-59	-0.093	3.55226
9400	36.411310489630893	3.29860021257811e-59	-0.094	3.58869
9500	36.374917378729471	2.1642073391413918e-59	-0.095	3.62508
9600	36.338560642748469	1.4208292364141084e-59	-0.096	3.66144
9700	36.302240245331134	9.3337974921440528e-60	-0.097	3.69776
9800	36.265956150157059	6.1354718247930556e-60	-0.098	3.73404
9900	36.229708320942166	4.0356202696696388e-60	-0.099	3.77029
10000	36.193496721438606	2.6561035002417223e-60	-0.1	3.8065
10100	36.157321315434793	1.749249261186575e-60	-0.101	3.84268
10200	36.121182066755281	1.1527365001370974e-60	-0.102	3.87882
10300	36.085078939260832	7.6011563686411061e-61	-0.103	3.91492
10400	36.049011896848377	5.0153379333259235e-61	-0.104	3.95099
10500	36.012980903450796	3.3112447614899736e-61	-0.105	3.98702
10600	35.976985923037134	2.1875226233887268e-61	-0.106	4.02301
10700	35.941026919612369	1.4460511174374404e-61	-0.107	4.05897
10800	35.905103857217547	9.5649829170775341e-62	-0.108	4.0949
10900	35.869216699929588	6.3307308724570505e-62	-0.109	4.13078
11000	35.833365411861294	4.1926850752509114e-62	-0.11	4.16663
11100	35.797549957161422	2.7784271300277737e-62	-0.111	4.20245
11200	35.761770300014469	1.8423570334532447e-62	-0.112	4.23823
11300	35.726026404640812	1.2224081581681288e-62	-0.113	4.27397
11400	35.690318235296544	8.1156999208421028e-63	-0.114	4.30968
11500	35.654645756273467	5.3914137315680474e-63	-0.115	4.34535
11600	35.619008931899145	3.5838177881844253e-63	-0.116	4.38099
